"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"3047","2019-2020","665962","Infinity School","Elementary",15,15,NA,NA,15,15,30,"Private"
"3048","2019-2020","886638","Innocent Hearts Secondary School","Secondary",NA,NA,40,35,40,35,75,"Private"
"3049","2019-2020","667661","Innova Academy","Elem/Sec",50,45,5,5,NA,NA,105,"Private"
"3050","2019-2020","886338","Innunco Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3051","2019-2020","880844","Insight Academy of Canada","Elem/Sec",5,NA,5,5,10,NA,15,"Private"
"3052","2019-2020","665353","Inspiration Private School - Aurora","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3053","2019-2020","887642","Inspiration Private School - Markham","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3054","2019-2020","669893","Inspiration Private School - Oakville","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3055","2019-2020","669968","Inspired Mind Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3056","2019-2020","882483","Integral High School","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3057","2019-2020","668934","Intellexi Learning Academy","Secondary",NA,NA,30,15,30,15,45,"Private"
"3058","2019-2020","876402","International School of Cambridge","Elementary",65,85,NA,NA,65,85,150,"Private"
"3059","2019-2020","669130","Iqra Nejasni Islamic School","Elementary",20,5,NA,NA,20,NA,25,"Private"
"3060","2019-2020","665419","Islamic Education Guidance Centre","Elementary",30,30,NA,NA,30,30,60,"Private"
"3061","2019-2020","876321","Islamic Foundation School","Elementary",205,250,NA,NA,205,250,455,"Private"
"3062","2019-2020","667492","Islamic Foundation School - Durham","Elementary",80,90,NA,NA,80,90,170,"Private"
"3063","2019-2020","883867","Islamic Institute Al-Rashid","Elem/Sec",80,25,75,5,155,NA,185,"Private"
"3064","2019-2020","880343","Islamic Institute of Toronto Academy","Elementary",125,115,NA,NA,125,115,240,"Private"
"3065","2019-2020","878375","Islamic School of Hamilton","Elementary",80,120,NA,NA,80,120,200,"Private"
"3066","2019-2020","666276","Issachar Christian Academy","Elementary",25,25,NA,NA,25,25,50,"Private"
"3067","2019-2020","886040","Ivy League International Academy","Secondary",NA,NA,5,NA,NA,NA,5,"Private"
"3068","2019-2020","666092","J Addison School","Elem/Sec",25,20,115,90,140,110,250,"Private"
"3069","2019-2020","665073","JEI Learning Center","Elementary",40,35,NA,NA,40,35,75,"Private"
"3070","2019-2020","885297","JEI Learning Center - Greensborough","Elementary",30,20,NA,NA,30,20,50,"Private"
"3071","2019-2020","887635","JIC  School","Elem/Sec",35,55,NA,5,35,NA,95,"Private"
"3072","2019-2020","668272","JNY Day School","Elementary",5,NA,NA,NA,NA,NA,5,"Private"
"3073","2019-2020","887099","Jackman Institute of Child Study","Elementary",100,100,NA,NA,100,100,200,"Private"
"3074","2019-2020","886637","Jarvis District Christian School","Elementary",90,75,NA,NA,90,75,165,"Private"
"3075","2019-2020","886269","Jasper Academy","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3076","2019-2020","669574","Jaya International High School","Secondary",NA,NA,20,10,20,10,30,"Private"
"3077","2019-2020","669996","Jehovah Jireh Christian School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3078","2019-2020","886017","Joan of Arc Academy","Elementary",NA,100,NA,NA,NA,100,100,"Private"
"3079","2019-2020","663352","John C Yesno Education Centre","Elem/Sec",NA,NA,30,25,30,25,55,"Private"
"3080","2019-2020","885436","John Calvin Private School","Elementary",160,160,NA,NA,160,160,320,"Private"
"3081","2019-2020","885185","John Knox Christian","Elementary",90,100,NA,NA,90,100,190,"Private"
"3082","2019-2020","886564","John Knox Christian School","Elementary",175,160,NA,NA,175,160,335,"Private"
"3083","2019-2020","886785","John Knox Christian School","Elementary",75,80,NA,NA,75,80,155,"Private"
"3084","2019-2020","882992","Jordan Christian School","Elem/Sec",55,70,10,15,65,85,150,"Private"
"3085","2019-2020","884480","Junior Academy, The","Elementary",60,20,NA,NA,60,20,80,"Private"
"3086","2019-2020","665070","K-W Montessori School Inc., The","Elementary",25,25,NA,NA,25,25,50,"Private"
"3087","2019-2020","886258","KMSCHOOL","Elementary",20,20,NA,NA,20,20,40,"Private"
"3088","2019-2020","882944","KNB Learning","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3089","2019-2020","883736","Kaban Montessori School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3090","2019-2020","877697","Kanata Academy","Elem/Sec",55,45,40,10,90,55,150,"Private"
"3091","2019-2020","883130","Kanata Montessori High School","Elem/Sec",NA,NA,45,30,45,30,75,"Private"
"3092","2019-2020","875104","Kanata Montessori Private School","Elementary",85,90,NA,NA,85,90,175,"Private"
"3093","2019-2020","669643","Kawartha Classical Christian School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3094","2019-2020","876810","Kawartha Montessori","Elementary",55,40,NA,NA,55,40,95,"Private"
"3095","2019-2020","663905","Kawenni:io/Gaweni:yo High School","Secondary",NA,NA,10,5,10,NA,15,"Private"
"3096","2019-2020","884987","Kayla's Children Centre","Elem/Sec",50,25,5,NA,NA,25,80,"Private"
"3097","2019-2020","663930","Keewaytinook Internet","Secondary",NA,NA,75,100,75,100,175,"Private"
"3098","2019-2020","878529","Kehila Jewish Community Day School","Elementary",15,10,NA,NA,15,10,25,"Private"
"3099","2019-2020","878588","Kempenfelt Bay School","Elementary",55,65,NA,NA,55,65,120,"Private"
"3100","2019-2020","668625","Kendalwood Montessori","Elementary",35,40,NA,NA,35,40,75,"Private"
"3101","2019-2020","665767","Kendelhurst Academy","Elem/Sec",65,50,NA,NA,65,50,115,"Private"
"3102","2019-2020","876569","Kenilworth Krest Parochial School","Elem/Sec",15,15,5,NA,NA,15,35,"Private"
"3103","2019-2020","663654","Kenjgewin Teg","Secondary",NA,NA,10,15,10,15,25,"Private"
"3104","2019-2020","666491","Kennedy Montessori Private School","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3105","2019-2020","666114","Kent International Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3106","2019-2020","667656","Kent School","Secondary",NA,NA,70,45,70,45,115,"Private"
"3107","2019-2020","883386","Kesser Yosef","Secondary",NA,NA,5,NA,NA,NA,5,"Private"
"3108","2019-2020","878863","Kew Park Montessori Day School","Elementary",55,35,NA,NA,55,35,90,"Private"
"3109","2019-2020","888468","Keystone International Schools","Secondary",NA,NA,40,25,40,25,65,"Private"
"3110","2019-2020","882370","Keystone Montessori School","Elementary",20,5,NA,NA,20,NA,25,"Private"
"3111","2019-2020","665365","Khairul Ummah School","Elem/Sec",85,170,NA,55,85,225,310,"Private"
"3112","2019-2020","877352","Khalsa Community School","Elem/Sec",505,430,40,35,545,465,1010,"Private"
"3113","2019-2020","666932","Khalsa School Malton","Elem/Sec",160,140,NA,NA,160,140,300,"Private"
"3114","2019-2020","877581","KinderKollege Elementary School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3115","2019-2020","885630","King Christian School","Elementary",70,70,NA,NA,70,70,140,"Private"
"3116","2019-2020","889823","King Heights Academy","Elem/Sec",45,40,NA,NA,45,40,85,"Private"
"3117","2019-2020","889241","King's Academy","Elementary",15,5,NA,NA,15,NA,20,"Private"
"3118","2019-2020","665398","King's Christian Collegiate","Secondary",NA,NA,340,320,340,320,660,"Private"
"3119","2019-2020","669248","King's College Preparatory School Canada","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3120","2019-2020","876577","King's College School for Bright and Gif","Elem/Sec",5,15,15,15,NA,25,50,"Private"
"3121","2019-2020","884720","King's Town Private School","Elementary",65,60,NA,NA,65,60,125,"Private"
"3122","2019-2020","881511","Kingsley Primary School","Elementary",15,20,NA,NA,15,20,35,"Private"
"3123","2019-2020","885657","Kingston Christian School","Elementary",50,40,NA,NA,50,40,90,"Private"
"3124","2019-2020","666341","Kingsway Academy","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3125","2019-2020","885959","Kingsway College Private High School","Secondary",NA,NA,105,145,105,145,250,"Private"
"3126","2019-2020","884812","Kingsway College School","Elementary",200,185,NA,NA,200,185,385,"Private"
"3127","2019-2020","669857","Kisomo International Collegiate","Elem/Sec",5,NA,NA,NA,NA,NA,5,"Private"
"3128","2019-2020","887676","Kitchener Waterloo Bilingual School","Elementary",180,195,NA,NA,180,195,375,"Private"
"3129","2019-2020","881708","Kleinburg Christian School","Elementary",70,65,NA,NA,70,65,135,"Private"
"3130","2019-2020","885177","Knox Christian School","Elementary",130,95,NA,NA,130,95,225,"Private"
"3131","2019-2020","876763","Koinonia Christian Academy","Elementary",55,50,NA,NA,55,50,105,"Private"
"3132","2019-2020","665452","La Citadelle International Academy","Elem/Sec",50,65,20,20,70,85,155,"Private"
"3133","2019-2020","884134","La Maison Montessori House","Elementary",20,25,NA,NA,20,25,45,"Private"
"3134","2019-2020","667731","La Salette Courtland Old Colony Christia","Elementary",50,60,NA,NA,50,60,110,"Private"
"3135","2019-2020","887609","Lakedale Amish Parochial","Elementary",10,15,NA,NA,10,15,25,"Private"
"3136","2019-2020","885371","Lakefield College School","Secondary",NA,NA,190,190,190,190,380,"Private"
"3137","2019-2020","878359","Lakelet Parochial School","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3138","2019-2020","880729","Lakeshore School","Elementary",35,30,NA,NA,35,30,65,"Private"
"3139","2019-2020","669546","Lakeside Parochial School","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3140","2019-2020","887889","Lakeview Christian School","Elem/Sec",5,5,5,5,10,NA,20,"Private"
"3141","2019-2020","880256","Lakeview Montessori School","Elementary",95,80,NA,NA,95,80,175,"Private"
"3142","2019-2020","666076","Langside Parochial","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3143","2019-2020","885783","Laureate College","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3144","2019-2020","887897","Laurentian Hills Christian School","Elementary",190,180,NA,NA,190,180,370,"Private"
"3145","2019-2020","669197","Lawrence Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3146","2019-2020","889281","Le Cercle des savoirs","Elem/Sec",5,5,5,15,10,NA,30,"Private"
"3147","2019-2020","880502","Leahurst College","Elem/Sec",30,35,20,30,50,65,115,"Private"
"3148","2019-2020","885331","Learning Genius Academy Inc","Secondary",NA,NA,40,30,40,30,70,"Private"
"3149","2019-2020","878332","Lee Academy Private Elementary School","Elementary",70,85,NA,NA,70,85,155,"Private"
"3150","2019-2020","876860","Lennox & Addington Cornerstone Christian","Elementary",20,30,NA,NA,20,30,50,"Private"
"3151","2019-2020","886769","Leo Baeck Day School, The","Elementary",315,260,NA,NA,315,260,575,"Private"
"3152","2019-2020","882909","Leonardo Da Vinci Academy of Arts and","Elementary",20,35,NA,NA,20,35,55,"Private"
"3153","2019-2020","669348","Leslie Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3154","2019-2020","884663","Liberal High School","Elem/Sec",NA,NA,5,5,NA,NA,10,"Private"
"3155","2019-2020","666744","Liberty Prep School","Elementary",15,25,NA,NA,15,25,40,"Private"
"3156","2019-2020","881789","Lighthouse Christian School","Elem/Sec",20,20,5,5,NA,NA,50,"Private"
"3157","2019-2020","877158","Lilac Grove School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3158","2019-2020","883704","Linbrook School","Elementary",175,NA,NA,NA,175,NA,175,"Private"
"3159","2019-2020","886947","Lindale Parochial School","Elementary",20,5,NA,NA,20,NA,25,"Private"
"3160","2019-2020","876186","Linden School, The","Elem/Sec",NA,75,NA,35,NA,110,110,"Private"
"3161","2019-2020","665758","Link On Learning","Elementary",75,100,NA,NA,75,100,175,"Private"
"3162","2019-2020","888923","Listowel Christian School","Elementary",90,55,NA,NA,90,55,145,"Private"
"3163","2019-2020","665757","Little Country School, The","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3164","2019-2020","889201","Little Owl Preschool Elementary","Elementary",30,20,NA,NA,30,20,50,"Private"
"3165","2019-2020","669606","Living Gospel Mission School","Elementary",60,50,NA,NA,60,50,110,"Private"
"3166","2019-2020","883879","Living Hope Christian School","Elem/Sec",15,25,NA,NA,15,25,40,"Private"
"3167","2019-2020","669329","Lolart School","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3168","2019-2020","887684","London Christian Academy","Elementary",90,100,NA,NA,90,100,190,"Private"
"3169","2019-2020","885746","London Christian Elementary School","Elementary",90,85,NA,NA,90,85,175,"Private"
"3170","2019-2020","885738","London Christian High","Secondary",NA,NA,120,105,120,105,225,"Private"
"3171","2019-2020","887404","London Community Hebrew Day School","Elementary",20,15,NA,NA,20,15,35,"Private"
"3172","2019-2020","666947","London International Academy","Secondary",NA,NA,160,85,160,85,245,"Private"
"3173","2019-2020","877557","London Islamic School","Elementary",110,120,NA,NA,110,120,230,"Private"
"3174","2019-2020","881120","London Waldorf School","Elementary",70,70,NA,NA,70,70,140,"Private"
"3175","2019-2020","881778","Longbridge Academy","Elem/Sec",NA,NA,5,5,NA,NA,10,"Private"
"3176","2019-2020","885469","Lorvale Academy","Secondary",NA,NA,15,15,15,15,30,"Private"
"3177","2019-2020","885067","Lote tree Foundation","Elementary",55,40,NA,NA,55,40,95,"Private"
"3178","2019-2020","883339","Lovell Academy","Secondary",NA,NA,5,10,NA,10,15,"Private"
"3179","2019-2020","666858","Lutherwood Parochial School","Elementary",20,15,NA,NA,20,15,35,"Private"
"3180","2019-2020","888117","Lycée Claudel","Elem/Sec",350,320,130,145,480,465,945,"Private"
"3181","2019-2020","668587","Lynden School","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3182","2019-2020","668419","Lynedoch Christian School","Elem/Sec",15,20,5,5,NA,NA,45,"Private"
"3183","2019-2020","667127","Lynn-Rose College","Elem/Sec",50,35,35,20,80,55,140,"Private"
"3184","2019-2020","878014","Lynn-Rose Heights Private School - Elem","Elementary",130,105,NA,NA,130,105,235,"Private"
"3185","2019-2020","668747","Lyonsgate Montessori School","Elementary",30,30,NA,NA,30,30,60,"Private"
"3186","2019-2020","880155","MAC Al-Furqan School","Elementary",20,15,NA,NA,20,15,35,"Private"
"3187","2019-2020","665027","MAC Maple Grove School","Elementary",100,105,NA,NA,100,105,205,"Private"
"3188","2019-2020","669650","MAC Niagara Islamic School","Elementary",55,65,NA,NA,55,65,120,"Private"
"3189","2019-2020","881090","Mabin School, The","Elementary",85,60,NA,NA,85,60,145,"Private"
"3190","2019-2020","885144","MacKenzie Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3191","2019-2020","881298","MacLachlan College","Elem/Sec",145,120,40,40,180,160,345,"Private"
"3192","2019-2020","875341","Macdonald-Cartier Academy","Elementary",15,35,NA,NA,15,35,50,"Private"
"3193","2019-2020","887722","Macton Parochial School","Elementary",15,20,NA,NA,15,20,35,"Private"
"3194","2019-2020","668301","Madaniyya Academy","Elementary",85,80,NA,NA,85,80,165,"Private"
"3195","2019-2020","667977","Madina Academy","Secondary",NA,NA,10,15,10,15,25,"Private"
"3196","2019-2020","666544","Madinah Islamic School","Elementary",35,35,NA,NA,35,35,70,"Private"
"3197","2019-2020","882911","Madinatul Uloom Academy - Scarborough","Elem/Sec",60,NA,40,NA,100,NA,100,"Private"
"3198","2019-2020","666972","Madinatul Uloom Academy Inc","Elementary",50,95,NA,NA,50,95,145,"Private"
"3199","2019-2020","877492","Madinatul-Uloom Academy","Elem/Sec",NA,70,NA,65,NA,135,135,"Private"
"3200","2019-2020","876259","Madresatul Banaat Almuslimaat","Elem/Sec",20,90,NA,55,20,145,165,"Private"
"3201","2019-2020","668504","Magnificent Minds","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3202","2019-2020","665700","Maingate Islamic Academy","Elementary",75,80,NA,NA,75,80,155,"Private"
"3203","2019-2020","669285","Makki Islamic Learning Centre","Elementary",125,140,NA,NA,125,140,265,"Private"
"3204","2019-2020","883812","Malvern Montessori School","Elementary",20,20,NA,NA,20,20,40,"Private"
"3205","2019-2020","667528","Mamawmatawa Holistic Education Centre","Secondary",NA,NA,25,25,25,25,50,"Private"
"3206","2019-2020","665008","Maple Crest Early School Ltd.","Elementary",20,20,NA,NA,20,20,40,"Private"
"3207","2019-2020","885665","Maple Drive Parochial","Elementary",10,20,NA,NA,10,20,30,"Private"
"3208","2019-2020","877905","Maple Grove Amish Parochial School","Elementary",10,5,NA,NA,10,NA,15,"Private"
"3209","2019-2020","887730","Maple Grove Parochial","Elementary",25,15,NA,NA,25,15,40,"Private"
"3210","2019-2020","665776","Maple Grove Parochial School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3211","2019-2020","885156","Maple Lane","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3212","2019-2020","888206","Maple Lane Private","Elementary",15,10,NA,NA,15,10,25,"Private"
"3213","2019-2020","884710","Maple Leaf Collegiate","Secondary",NA,NA,40,30,40,30,70,"Private"
"3214","2019-2020","879177","Maple Leaf International School","Secondary",NA,NA,70,95,70,95,165,"Private"
"3215","2019-2020","666144","Maple Leaf School-LakeheadU","Secondary",NA,NA,15,10,15,10,25,"Private"
"3216","2019-2020","883140","Maple View Parochial School","Elementary",10,10,NA,NA,10,10,20,"Private"
"3217","2019-2020","883498","Mapleton Meadow Parochial School","Elementary",25,15,NA,NA,25,15,40,"Private"
"3218","2019-2020","889717","Mapleview","Elem/Sec",20,15,NA,5,20,NA,40,"Private"
"3219","2019-2020","883590","Maranatha Christian Academy","Elem/Sec",95,75,55,40,150,115,265,"Private"
"3220","2019-2020","882271","Maranatha Christian Day School","Elem/Sec",25,20,5,5,NA,NA,55,"Private"
"3221","2019-2020","888338","Maranatha Christian School","Elementary",125,105,NA,NA,125,105,230,"Private"
"3222","2019-2020","666556","March Academy Private School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3223","2019-2020","666030","Marco Polo Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3224","2019-2020","884740","Maria Montessori School Inc.","Elementary",45,45,NA,NA,45,45,90,"Private"
"3225","2019-2020","668779","Marigold Hollow Parochial School","Elementary",15,5,NA,NA,15,NA,20,"Private"
"3226","2019-2020","880032","Mariyah Islamic School","Elementary",20,25,NA,NA,20,25,45,"Private"
"3227","2019-2020","881380","Markham International College","Secondary",NA,NA,20,15,20,15,35,"Private"
"3228","2019-2020","884125","Markham Waterloo Continuing Education","Secondary",NA,NA,90,NA,90,NA,90,"Private"
"3229","2019-2020","881803","Markville Montessori Private School","Elem/Sec",5,5,NA,NA,NA,NA,10,"Private"
"3230","2019-2020","884618","Marlborough Academy","Elem/Sec",5,5,5,5,NA,NA,20,"Private"
"3231","2019-2020","876160","Mary, Mother of God School","Elem/Sec",25,20,5,5,NA,NA,55,"Private"
"3232","2019-2020","668870","Maryvale Academy of Ottawa","Elementary",45,40,NA,NA,45,40,85,"Private"
"3233","2019-2020","888751","Matawa Education & Care Centre","Secondary",NA,NA,75,65,75,65,140,"Private"
"3234","2019-2020","665181","Matrix Academy","Elem/Sec",5,NA,5,NA,NA,NA,10,"Private"
"3235","2019-2020","885754","Matthews Hall","Elementary",120,85,NA,NA,120,85,205,"Private"
"3236","2019-2020","669808","McCanny Secondary School","Secondary",NA,NA,15,10,15,10,25,"Private"
"3237","2019-2020","669416","McCanny Secondary School (West Campus)","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3238","2019-2020","876674","McDonald International Academy","Secondary",NA,NA,85,85,85,85,170,"Private"
"3239","2019-2020","886037","McDonald International Academy-North Yo","Secondary",NA,NA,NA,5,NA,NA,5,"Private"
"3240","2019-2020","668558","McIntosh Valley","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3241","2019-2020","665168","Meadow Cress School","Elem/Sec",5,5,NA,5,NA,NA,15,"Private"
"3242","2019-2020","877409","Meadow Green Academy","Elementary",30,35,NA,NA,30,35,65,"Private"
"3243","2019-2020","881969","Meadow Green Academy - Lakeshore","Elem/Sec",25,20,5,5,NA,NA,55,"Private"
"3244","2019-2020","668775","Meadow View Private","Elementary",10,10,NA,NA,10,10,20,"Private"
"3245","2019-2020","884428","Meezan School","Elementary",25,35,NA,NA,25,35,60,"Private"
"3246","2019-2020","882291","Mentor College","Elem/Sec",270,205,370,290,640,495,1135,"Private"
"3247","2019-2020","667590","Mentor College Primary Campus","Elementary",160,145,NA,NA,160,145,305,"Private"
"3248","2019-2020","668578","Merit College","Secondary",NA,NA,10,5,10,NA,15,"Private"
"3249","2019-2020","669447","Merrick Preparatory School","Secondary",NA,NA,25,5,25,NA,30,"Private"
"3250","2019-2020","882521","Mesivta Ohr Temimim Lubavitch","Secondary",NA,NA,30,NA,30,NA,30,"Private"
"3251","2019-2020","877654","Metamorphosis Greek Orthodox School","Elementary",155,140,NA,NA,155,140,295,"Private"
"3252","2019-2020","886696","Metro International Secondary Academy","Secondary",NA,NA,60,55,60,55,115,"Private"
"3253","2019-2020","884742","Metropolitan Bible Baptist Christian Aca","Elem/Sec",5,5,5,5,15,15,20,"Private"
"3254","2019-2020","665539","Metropolitan College","Secondary",NA,NA,10,10,10,10,20,"Private"
"3255","2019-2020","882070","Metropolitan Preparatory Academy","Elem/Sec",5,NA,115,60,NA,60,180,"Private"
"3256","2019-2020","665576","Middlebrook Parochial School","Elementary",15,15,NA,NA,15,15,30,"Private"
"3257","2019-2020","663375","Migizi Miigwanan Secondary School","Secondary",NA,NA,25,20,25,20,45,"Private"
"3258","2019-2020","663697","Mikinaak Onigaming School","Elem/Sec",NA,NA,15,20,15,20,35,"Private"
"3259","2019-2020","887964","Mildenhall School, The","Elementary",45,30,NA,NA,45,30,75,"Private"
"3260","2019-2020","886543","Milton Christian School","Elementary",60,60,NA,NA,60,60,120,"Private"
"3261","2019-2020","886461","Milton Prep Academy","Secondary",NA,NA,10,5,10,NA,15,"Private"
"3262","2019-2020","666408","MindTech Academic Schools, Inc","Elementary",70,85,NA,NA,70,85,155,"Private"
"3263","2019-2020","668579","Mindview Academy Site","Elem/Sec",5,NA,10,5,NA,NA,20,"Private"
"3264","2019-2020","665135","Mindware Academy","Elementary",25,15,NA,NA,25,15,40,"Private"
"3265","2019-2020","883933","Mindwerx4kids Learning Centre","Elementary",30,5,NA,NA,30,NA,35,"Private"
"3266","2019-2020","875180","Minto Meadow Parochial School","Elementary",15,20,NA,NA,15,20,35,"Private"
"3267","2019-2020","665790","Missing Links Academy","Elementary",25,5,NA,NA,25,NA,30,"Private"
"3268","2019-2020","880647","Mississauga Christian Academy","Elementary",70,95,NA,NA,70,95,165,"Private"
"3269","2019-2020","666192","Mississauga Christian French School","Elementary",30,25,NA,NA,30,25,55,"Private"
"3270","2019-2020","668852","Mississauga First Nation Adult Education","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3271","2019-2020","667051","Mississauga Secondary Academy","Secondary",NA,NA,35,10,35,10,45,"Private"
"3272","2019-2020","663719","Mizhakiiwetung Memorial","Elem/Sec",NA,NA,50,55,50,55,105,"Private"
"3273","2019-2020","886955","Montcrest School","Elementary",190,140,NA,NA,190,140,330,"Private"
"3274","2019-2020","887919","Montessori Academy of London","Elementary",180,145,NA,NA,180,145,325,"Private"
"3275","2019-2020","882780","Montessori Country School-Nobleton, The","Elementary",55,35,NA,NA,55,35,90,"Private"
"3276","2019-2020","665711","Montessori Jewish Day School","Elementary",50,45,NA,NA,50,45,95,"Private"
"3277","2019-2020","668375","Montessori Leaders School","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3278","2019-2020","882917","Montessori Learning Centre","Elementary",75,50,NA,NA,75,50,125,"Private"
"3279","2019-2020","666708","Montessori School of Elora","Elementary",5,5,NA,NA,NA,NA,10,"Private"
"3280","2019-2020","666440","Montessori School of Kleinburg","Elementary",70,80,NA,NA,70,80,150,"Private"
"3281","2019-2020","669398","Montessori School of Milton Inc","Elementary",20,15,NA,NA,20,15,35,"Private"
"3282","2019-2020","877301","Moose Factory Academy","Elementary",30,25,NA,NA,30,25,55,"Private"
"3283","2019-2020","888583","Morning Star Christian School","Elem/Sec",5,5,5,NA,10,NA,15,"Private"
"3284","2019-2020","885615","Mount Hope Parochial School","Elementary",5,10,NA,NA,NA,10,15,"Private"
"3285","2019-2020","884227","Mount Salem Christian School","Elementary",85,95,NA,NA,85,95,180,"Private"
"3286","2019-2020","882392","Mount Sinai Education","Elem/Sec",20,20,10,5,30,NA,55,"Private"
"3287","2019-2020","665100","Mulberry Waldorf School","Elementary",45,40,NA,NA,45,40,85,"Private"
"3288","2019-2020","880043","Muskoka Christian School","Elementary",55,35,NA,NA,55,35,90,"Private"
"3289","2019-2020","878537","Muskoka Montessori School","Elementary",30,35,NA,NA,30,35,65,"Private"
"3290","2019-2020","667013","NOIC Academy","Secondary",NA,NA,115,75,115,75,190,"Private"
"3291","2019-2020","885523","NT Private High School","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3292","2019-2020","876623","Nancy Campbell Academy","Secondary",NA,NA,25,40,25,40,65,"Private"
"3293","2019-2020","879482","Nanjing-Bond International College","Secondary",NA,NA,85,75,85,75,160,"Private"
"3294","2019-2020","884949","National Ski Academy","Secondary",NA,NA,5,15,NA,15,20,"Private"
"3295","2019-2020","663824","Nbisiing Secondary School","Secondary",NA,NA,40,35,40,35,75,"Private"
"3296","2019-2020","887269","Ner Israel Yeshiva","Secondary",NA,NA,115,NA,115,NA,115,"Private"
"3297","2019-2020","883239","Netivot Hatorah Day School","Elementary",330,355,NA,NA,330,355,685,"Private"
"3298","2019-2020","889172","Neuchâtel Junior College","Secondary",NA,NA,15,35,15,35,50,"Private"
"3299","2019-2020","883281","Neustadt Horizon Parochial School","Elementary",15,15,NA,NA,15,15,30,"Private"
"3300","2019-2020","669140","New Arising Christian School","Elementary",20,15,NA,NA,20,15,35,"Private"
"3301","2019-2020","876879","New Covenant Church School","Elementary",20,10,NA,NA,20,10,30,"Private"
"3302","2019-2020","878308","New Haven Learning Centre","Elem/Sec",30,5,10,5,40,10,50,"Private"
"3303","2019-2020","886552","New Hope Baptist School","Elem/Sec",NA,5,5,5,NA,NA,15,"Private"
"3304","2019-2020","887587","New Jerusalem Parochial","Elementary",15,20,NA,NA,15,20,35,"Private"
"3305","2019-2020","885599","New Renaissance Academy","Secondary",NA,NA,5,NA,NA,NA,5,"Private"
"3306","2019-2020","880493","Newmarket & District Christian Academy","Elementary",30,30,NA,NA,30,30,60,"Private"
"3307","2019-2020","882021","Newmarket Montessori & Christian Academy","Elem/Sec",25,30,NA,5,25,NA,60,"Private"
"3308","2019-2020","883695","Newton International College","Secondary",NA,NA,25,5,25,NA,30,"Private"
"3309","2019-2020","889709","Newton's Grove School","Elem/Sec",125,90,105,55,230,145,375,"Private"
"3310","2019-2020","878006","Niagara Academy","Elem/Sec",NA,NA,15,5,15,NA,20,"Private"
"3311","2019-2020","665460","Niagara Centre Academy","Elem/Sec",5,5,5,5,NA,NA,20,"Private"
"3312","2019-2020","885142","Niagara Christian Collegiate","Secondary",NA,NA,130,100,130,100,230,"Private"
"3313","2019-2020","669044","Niagara Christian Collegiate Middle Scho","Elementary",15,15,NA,NA,15,15,30,"Private"
"3314","2019-2020","667082","Niagara Falls Collegiate Institute","Secondary",NA,NA,5,5,NA,NA,10,"Private"
"3315","2019-2020","669644","Nile Academy Blue Haven Campus","Elem/Sec",75,70,50,35,125,100,230,"Private"
"3316","2019-2020","884643","Nimbus Christian Education","Elem/Sec",5,NA,15,5,NA,NA,25,"Private"
"3317","2019-2020","669570","No. 1 Chinese School","Elementary",85,75,NA,NA,85,75,160,"Private"
"3318","2019-2020","667077","Nobel Academy","Secondary",NA,NA,5,5,NA,NA,10,"Private"
