"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"5204","2015-2016","888990","Fairview Amish Private School","Elementary",5,12,NA,NA,5,12,17,"Private"
"5205","2015-2016","665812","Fairview Amish School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5206","2015-2016","668711","Fairview Glen Montessori","Elementary",40,39,NA,NA,40,39,79,"Private"
"5207","2015-2016","882224","Faith Christian Academy","Elementary",51,48,NA,NA,51,48,99,"Private"
"5208","2015-2016","889423","Faithway Baptist Church School","Elem/Sec",32,30,17,20,49,50,99,"Private"
"5209","2015-2016","888931","Farewell Parochial School","Elementary",22,16,NA,NA,22,16,38,"Private"
"5210","2015-2016","888664","Fellowship Christian School","Elementary",39,45,NA,NA,39,45,84,"Private"
"5211","2015-2016","882178","Fern Hill","Elem/Sec",199,165,14,17,213,182,395,"Private"
"5212","2015-2016","882353","Fern Hill - Burlington","Elem/Sec",76,80,5,12,NA,92,173,"Private"
"5213","2015-2016","876046","Fern Hill School","Elementary",64,56,NA,NA,64,56,120,"Private"
"5214","2015-2016","883638","Fernbank Parochial School","Elementary",12,25,NA,NA,12,25,37,"Private"
"5215","2015-2016","878057","Fieldstone Day School","Elementary",59,37,NA,NA,59,37,96,"Private"
"5216","2015-2016","885377","Fieldstone King's College School","Secondary",NA,NA,84,54,84,54,138,"Private"
"5217","2015-2016","877123","First Lutheran Christian Academy","Elementary",48,37,NA,NA,48,37,85,"Private"
"5218","2015-2016","885622","Floradale Parochial School","Elementary",19,16,NA,NA,19,16,35,"Private"
"5219","2015-2016","665990","Forest Hill Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"5220","2015-2016","668055","Forest Hill Montessori School","Elementary",17,25,NA,NA,17,25,42,"Private"
"5221","2015-2016","669733","Foundation Christian School","Elementary",63,34,NA,NA,63,34,97,"Private"
"5222","2015-2016","668218","Four Corners Amish School","Elementary",14,14,NA,NA,14,14,28,"Private"
"5223","2015-2016","877700","Four Winds Montessori School Inc.","Elementary",5,5,NA,NA,5,5,10,"Private"
"5224","2015-2016","888320","Fourth Peel Parochial","Elementary",28,15,NA,NA,28,15,43,"Private"
"5225","2015-2016","663048","Francine J. Wesley Secondary School","Elem/Sec",NA,NA,91,70,91,70,161,"Private"
"5226","2015-2016","883086","Friendship Amish School","Elementary",15,14,NA,NA,15,14,29,"Private"
"5227","2015-2016","669256","Fulford Academy","Elem/Sec",5,13,23,19,NA,32,60,"Private"
"5228","2015-2016","669447","Fulford Preparatory College","Secondary",NA,NA,26,18,26,18,44,"Private"
"5229","2015-2016","883210","Fullbright Academy","Secondary",NA,NA,12,5,12,5,17,"Private"
"5230","2015-2016","666114","FutureSkills High School","Secondary",NA,NA,44,65,44,65,109,"Private"
"5231","2015-2016","889839","GTA Academy","Elementary",5,15,NA,NA,5,15,20,"Private"
"5232","2015-2016","877786","Gap Academy","Elem/Sec",5,NA,NA,NA,5,NA,5,"Private"
"5233","2015-2016","887036","Georgian Heights School","Elem/Sec",14,5,NA,NA,14,5,19,"Private"
"5234","2015-2016","884820","Giles School, The","Elementary",53,74,NA,NA,53,74,127,"Private"
"5235","2015-2016","883093","Glad Tidings Christian School","Elem/Sec",20,20,5,5,NA,NA,50,"Private"
"5236","2015-2016","877840","Glebe Montessori School","Elementary",45,43,NA,NA,45,43,88,"Private"
"5237","2015-2016","882158","Glen Briar Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"5238","2015-2016","875066","Glen Meyer Old Colony School","Elementary",55,70,NA,NA,55,70,125,"Private"
"5239","2015-2016","883476","Glenburnie School Inc","Elementary",90,66,NA,NA,90,66,156,"Private"
"5240","2015-2016","668436","Glencedar Montessori Private School","Elementary",48,43,NA,NA,48,43,91,"Private"
"5241","2015-2016","669800","Glenlee Parochial School","Elementary",20,13,NA,NA,20,13,33,"Private"
"5242","2015-2016","886485","Glenn Arbour Academy","Elementary",70,49,NA,NA,70,49,119,"Private"
"5243","2015-2016","884849","Global Montessori Day Nursery & Priv.Ele","Elementary",12,14,NA,NA,12,14,26,"Private"
"5244","2015-2016","884989","Gobind Sarvar Brampton","Elem/Sec",37,37,NA,NA,37,37,74,"Private"
"5245","2015-2016","885614","Goldstone Parochial School","Elementary",26,17,NA,NA,26,17,43,"Private"
