School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
262935,Holland-Chatsworth Central S,Elementary,Public,257,2014-2015
273775,Huron Heights PS,Elementary,Public,335,2014-2015
007681,John Diefenbaker Senior S,Elementary,Public,167,2014-2015
915556,John Diefenbaker Senior S,Secondary,Public,610,2014-2015
291030,Keppel-Sarawak E S,Elementary,Public,337,2014-2015
919454,Kincardine DSS,Secondary,Public,513,2014-2015
293750,Kincardine Township-Tiverton PS,Elementary,Public,281,2014-2015
323900,Lucknow Central PS,Elementary,Public,142,2014-2015
198978,Macphail Memorial E S,Elementary,Public,513,2014-2015
357057,Meaford Community S,Elementary,Public,306,2014-2015
364290,Mildmay-Carrick Central S,Elementary,Public,147,2014-2015
401129,Normanby Community S,Elementary,Public,203,2014-2015
403741,Northport E S,Elementary,Public,393,2014-2015
093939,Osprey Central S,Elementary,Public,308,2014-2015
933236,Owen Sound C & VI,Secondary,Public,569,2014-2015
431028,Paisley Central S,Elementary,Public,140,2014-2015
605743,Peninsula Shores District S,Elementary,Public,323,2014-2015
953253,Peninsula Shores District S,Secondary,Public,255,2014-2015
450910,Port Elgin-Saugeen Central S,Elementary,Public,592,2014-2015
484970,Ripley-Huron Community - Junior Campus S,Elementary,Public,263,2014-2015
940127,Saugeen DSS,Secondary,Public,578,2014-2015
155683,Spruce Ridge Community S,Elementary,Public,440,2014-2015
529826,St Edmunds PS,Elementary,Public,35,2014-2015
531146,St Vincent-Euphrasia E S,Elementary,Public,286,2014-2015
540200,Sullivan Community S,Elementary,Public,141,2014-2015
544892,Sydenham Community S,Elementary,Public,440,2014-2015
569565,Walkerton District Community S,Elementary,Public,374,2014-2015
950262,Walkerton District Community S,Secondary,Public,393,2014-2015
951692,West Hill SS,Secondary,Public,872,2014-2015
688088,Assumption College School S,Secondary,Public,1371,2014-2015
690015,Blessed Sacrament S,Elementary,Public,186,2014-2015
696900,Christ the King S,Elementary,Public,142,2014-2015
714453,Holy Cross S,Elementary,Public,243,2014-2015
716960,Holy Family S,Elementary,Public,144,2014-2015
720232,Holy Trinity Catholic HS,Secondary,Public,932,2014-2015
750259,Jean Vanier C Elem S,Elementary,Public,358,2014-2015
736481,Notre Dame Catholic E S,Elementary,Public,272,2014-2015
739200,Notre Dame S,Elementary,Public,324,2014-2015
743968,Our Lady of Fatima S,Elementary,Public,113,2014-2015
