School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
702385,St. Dominic C Elem S,Elementary,Public,398,2017-2018
848612,St. Francis Xavier (7-8) CS,Elementary,Public,551,2017-2018
843510,St. Francis Xavier (9-12) CS,Secondary,Public,1248,2017-2018
838912,St. Gabriel E S,Elementary,Public,699,2017-2018
731374,St. Gemma E S,Elementary,Public,293,2017-2018
751375,St. John XXIII E S,Elementary,Public,270,2017-2018
741680,St. Kateri Tekakwitha E S,Elementary,Public,303,2017-2018
689130,St. Rose of Lima E S,Elementary,Public,214,2017-2018
744065,St. Stephen C Elem S,Elementary,Public,567,2017-2018
864510,Thomas D'Arcy McGee Catholic E S,Elementary,Public,174,2017-2018
000566,A. Lorne Cassidy E S,Elementary,Public,590,2017-2018
890243,A.Y. Jackson SS,Secondary,Public,774,2017-2018
320510,Adrienne Clarkson E S,Elementary,Public,618,2017-2018
947210,Adult HS,Secondary,Public,1161,2017-2018
004626,Agincourt Road PS,Elementary,Public,534,2017-2018
013986,Alta Vista PS,Elementary,Public,642,2017-2018
020354,Arch Street PS,Elementary,Public,166,2017-2018
119207,Avalon PS,Elementary,Public,376,2017-2018
032271,Barrhaven PS,Elementary,Public,423,2017-2018
036340,Bayshore PS,Elementary,Public,371,2017-2018
036862,Bayview PS,Elementary,Public,349,2017-2018
894362,Bell HS,Secondary,Public,930,2017-2018
315877,Bell Intermediate School,Elementary,Public,251,2017-2018
041670,Bells Corners PS,Elementary,Public,319,2017-2018
040665,Berrigan E S,Elementary,Public,955,2017-2018
055069,Blossom Park PS,Elementary,Public,367,2017-2018
061077,Briargreen PS,Elementary,Public,330,2017-2018
034452,Bridlewood Community E S,Elementary,Public,341,2017-2018
063908,Broadview PS,Elementary,Public,1015,2017-2018
896705,Brookfield HS,Secondary,Public,574,2017-2018
906514,Cairine Wilson SS,Secondary,Public,781,2017-2018
076511,Cambridge Street Community PS,Elementary,Public,111,2017-2018
898317,Canterbury HS,Secondary,Public,1248,2017-2018
084832,Carleton Heights PS,Elementary,Public,430,2017-2018
086240,Carson Grove E S,Elementary,Public,298,2017-2018
086487,Castlefrank E S,Elementary,Public,317,2017-2018
086452,Castor Valley E S,Elementary,Public,719,2017-2018
383252,Cedarview Md S,Elementary,Public,666,2017-2018
090182,Centennial PS,Elementary,Public,246,2017-2018
282953,Chapman Mills E S,Elementary,Public,698,2017-2018
101869,Charles H. Hulse PS,Elementary,Public,324,2017-2018
107778,Churchill Alternative S,Elementary,Public,280,2017-2018
671053,Clifford Bowey PS,Elementary,Public,101,2017-2018
902586,Colonel By SS,Secondary,Public,1136,2017-2018
121886,Connaught PS,Elementary,Public,376,2017-2018
121940,Convent Glen E S,Elementary,Public,109,2017-2018
671207,Crystal Bay Centre for Special,Elementary,Public,93,2017-2018
131504,D. Roy Kennedy PS,Elementary,Public,359,2017-2018
139432,Devonshire Community PS,Elementary,Public,335,2017-2018
153508,Dunlop PS,Elementary,Public,162,2017-2018
151416,Dunning-Foubert E S,Elementary,Public,429,2017-2018
634184,Earl of March Intermed S,Elementary,Public,512,2017-2018
906484,Earl of March SS,Secondary,Public,1267,2017-2018
170763,Elgin Street PS,Elementary,Public,263,2017-2018
907898,Elizabeth Wyn Wood Secondary Alternate,Secondary,Public,315,2017-2018
177008,Elmdale PS,Elementary,Public,508,2017-2018
050261,Emily Carr Md S,Elementary,Public,288,2017-2018
129674,Fallingbrook Community E S,Elementary,Public,392,2017-2018
083456,Farley Mowat PS,Elementary,Public,560,2017-2018
193640,Featherston Drive PS,Elementary,Public,330,2017-2018
196266,Fielding Drive PS,Elementary,Public,383,2017-2018
196762,First Avenue PS,Elementary,Public,251,2017-2018
197211,Fisher Park/Summit AS PS,Elementary,Public,555,2017-2018
088560,Forest Valley E S,Elementary,Public,354,2017-2018
911143,Frederick Banting Secondary Alternate Pr,Secondary,Public,191,2017-2018
211583,General Vanier PS,Elementary,Public,174,2017-2018
216658,Glashan PS,Elementary,Public,405,2017-2018
912697,Glebe CI,Secondary,Public,1511,2017-2018
224197,Glen Cairn PS,Elementary,Public,314,2017-2018
392197,Glen Ogilvie PS,Elementary,Public,440,2017-2018
913472,Gloucester HS,Secondary,Public,1030,2017-2018
223930,Goulbourn Middle S,Elementary,Public,390,2017-2018
424919,Greely E S,Elementary,Public,149,2017-2018
062050,Half Moon Bay PS,Elementary,Public,752,2017-2018
250848,Hawthorne PS,Elementary,Public,220,2017-2018
419222,Henry Larsen E S,Elementary,Public,331,2017-2018
252875,Henry Munro Md S,Elementary,Public,446,2017-2018
356980,Heritage PS,Elementary,Public,308,2017-2018
916854,Hillcrest HS,Secondary,Public,568,2017-2018
259810,Hilson Avenue PS,Elementary,Public,361,2017-2018
264628,Hopewell Avenue PS,Elementary,Public,864,2017-2018
273333,Huntley Centennial PS,Elementary,Public,525,2017-2018
279960,J.H.  Putman PS,Elementary,Public,319,2017-2018
287202,Jack Donohue PS,Elementary,Public,791,2017-2018
286168,Jockvale E S,Elementary,Public,341,2017-2018
918954,John McCrae SS,Secondary,Public,1155,2017-2018
285455,John Young E S,Elementary,Public,703,2017-2018
579722,Kanata Highlands PS,Elementary,Public,334,2017-2018
287563,Kars on the Rideau PS,Elementary,Public,668,2017-2018
287156,Katimavik E S,Elementary,Public,329,2017-2018
302759,Knoxdale PS,Elementary,Public,668,2017-2018
452440,Lady Evelyn Alternative S,Elementary,Public,147,2017-2018
305057,Lakeview PS,Elementary,Public,283,2017-2018
037699,Le Phare E S,Elementary,Public,391,2017-2018
922960,Lisgar CI,Secondary,Public,1075,2017-2018
027235,Longfields Davidson Heights Intermed S,Elementary,Public,695,2017-2018
900494,Longfields Davidson Heights SS,Secondary,Public,1483,2017-2018
332356,Manor Park PS,Elementary,Public,655,2017-2018
332488,Manordale PS,Elementary,Public,367,2017-2018
332615,Manotick PS,Elementary,Public,249,2017-2018
129690,Maple Ridge E S,Elementary,Public,559,2017-2018
345903,Mary Honeywell E S,Elementary,Public,641,2017-2018
356409,Meadowlands PS,Elementary,Public,497,2017-2018
925691,Merivale HS,Secondary,Public,639,2017-2018
114334,Merivale Intermediate School,Elementary,Public,289,2017-2018
423874,Metcalfe PS,Elementary,Public,246,2017-2018
382272,Mutchmor PS,Elementary,Public,520,2017-2018
928291,Nepean HS,Secondary,Public,1113,2017-2018
929425,Norman Johnston Secondary Alternate Prog,Secondary,Public,236,2017-2018
407232,North Gower/Marlborough PS,Elementary,Public,138,2017-2018
419389,Orleans Wood E S,Elementary,Public,209,2017-2018
424650,Osgoode PS,Elementary,Public,280,2017-2018
932710,Osgoode Township HS,Secondary,Public,524,2017-2018
925403,Ottawa Technical SS,Secondary,Public,400,2017-2018
444936,Pinecrest PS,Elementary,Public,418,2017-2018
448834,Pleasant Park PS,Elementary,Public,480,2017-2018
463523,Queen Elizabeth PS,Elementary,Public,313,2017-2018
465089,Queen Mary Street PS,Elementary,Public,143,2017-2018
480428,Regina Street Alternative S,Elementary,Public,232,2017-2018
939420,Richard Pfaff Secondary Alternate Site,Secondary,Public,261,2017-2018
483150,Richmond PS,Elementary,Public,257,2017-2018
938564,Ridgemont HS,Secondary,Public,738,2017-2018
487180,Riverview Alternative S,Elementary,Public,158,2017-2018
121690,Robert Bateman PS,Elementary,Public,322,2017-2018
487317,Robert E.  Wilson PS,Elementary,Public,193,2017-2018
487384,Robert Hopkins PS,Elementary,Public,372,2017-2018
319937,Roberta Bondar PS,Elementary,Public,681,2017-2018
060925,Roch Carrier E S,Elementary,Public,428,2017-2018
488356,Rockcliffe Park PS,Elementary,Public,413,2017-2018
489360,Roland Michener PS,Elementary,Public,146,2017-2018
474444,Sawmill Creek E S,Elementary,Public,550,2017-2018
506168,Severn Avenue PS,Elementary,Public,162,2017-2018
942952,Sir Guy Carleton SS,Secondary,Public,386,2017-2018
942014,Sir Robert Borden HS,Secondary,Public,826,2017-2018
620213,Sir Robert Borden Intermediate School,Elementary,Public,349,2017-2018
942332,Sir Wilfrid Laurier SS,Secondary,Public,957,2017-2018
516694,Sir Winston Churchill PS,Elementary,Public,381,2017-2018
942855,South Carleton HS,Secondary,Public,1031,2017-2018
204901,South March PS,Elementary,Public,578,2017-2018
310646,Stephen Leacock PS,Elementary,Public,508,2017-2018
565750,Steve MacLean PS,Elementary,Public,977,2017-2018
537624,Stittsville PS,Elementary,Public,640,2017-2018
595012,Stonecrest E S,Elementary,Public,682,2017-2018
330043,Summerside PS,Elementary,Public,473,2017-2018
554910,Terry Fox E S,Elementary,Public,205,2017-2018
383260,Trillium E S,Elementary,Public,441,2017-2018
949159,Urban Aboriginal Alternate High School,Secondary,Public,16,2017-2018
396902,Vimy Ridge PS,Elementary,Public,580,2017-2018
577405,Vincent Massey PS,Elementary,Public,702,2017-2018
578576,Viscount Alexander PS,Elementary,Public,186,2017-2018
579297,W. Erskine Johnston PS,Elementary,Public,666,2017-2018
579351,W.E. Gowling PS,Elementary,Public,366,2017-2018
061972,W.O. Mitchell E S,Elementary,Public,550,2017-2018
951366,West Carleton SS,Secondary,Public,1253,2017-2018
624500,Westwind Public School,Elementary,Public,562,2017-2018
619523,Woodroffe Avenue PS,Elementary,Public,518,2017-2018
954420,Woodroffe HS,Secondary,Public,858,2017-2018
624330,York Street PS,Elementary,Public,210,2017-2018
004880,Agnes Taylor PS,Elementary,Public,672,2017-2018
012815,Allan A Martin Sr PS,Elementary,Public,479,2017-2018
011533,Allan Drive Md S,Elementary,Public,551,2017-2018
013463,Alloa PS,Elementary,Public,684,2017-2018
057274,Aloma Crescent PS,Elementary,Public,377,2017-2018
074438,Alton PS,Elementary,Public,105,2017-2018
892203,Applewood Heights SS,Secondary,Public,1176,2017-2018
901887,Applewood S,Secondary,Public,109,2017-2018
021369,Arnott Charlton PS,Elementary,Public,482,2017-2018
102016,Artesian Drive PS,Elementary,Public,613,2017-2018
503560,Aylesbury P.S. E S,Elementary,Public,944,2017-2018
030880,Balmoral Drive Sr PS,Elementary,Public,612,2017-2018
032280,Barondale PS,Elementary,Public,574,2017-2018
037907,Beatty-Fleming Sr PS,Elementary,Public,352,2017-2018
040762,Belfountain PS,Elementary,Public,171,2017-2018
089058,Beryl Ford,Elementary,Public,800,2017-2018
049450,Birchbank PS,Elementary,Public,363,2017-2018
895920,Bramalea SS,Secondary,Public,1073,2017-2018
896055,Brampton Centennial SS,Secondary,Public,1246,2017-2018
057347,Brandon Gate PS,Elementary,Public,401,2017-2018
250350,Brian W. Fleming PS,Elementary,Public,498,2017-2018
061107,Briarwood PS,Elementary,Public,529,2017-2018
198811,Brisdale PS,Elementary,Public,886,2017-2018
063525,Bristol Road Md S,Elementary,Public,625,2017-2018
063550,Britannia PS,Elementary,Public,595,2017-2018
066532,Brookmede PS,Elementary,Public,380,2017-2018
071188,Burnhamthorpe PS,Elementary,Public,655,2017-2018
071781,Burnt Elm PS,Elementary,Public,805,2017-2018
514070,Calderstone Middle Md S,Elementary,Public,637,2017-2018
074047,Caledon Central PS,Elementary,Public,374,2017-2018
074179,Caledon East PS,Elementary,Public,285,2017-2018
080454,Camilla Road Sr PS,Elementary,Public,685,2017-2018
027655,Carberry PS,Elementary,Public,668,2017-2018
097098,Cashmere Avenue PS,Elementary,Public,403,2017-2018
033387,Castle Oaks P.S. E S,Elementary,Public,708,2017-2018
074373,Castlebridge PS,Elementary,Public,540,2017-2018
918407,Castlebrooke SS SS,Secondary,Public,1889,2017-2018
088340,Castlemore PS,Elementary,Public,657,2017-2018
899003,Cawthra Park SS,Secondary,Public,1298,2017-2018
501875,Centennial Sr PS,Elementary,Public,675,2017-2018
899828,Central Peel SS,Secondary,Public,1216,2017-2018
088935,Champlain Trail PS,Elementary,Public,619,2017-2018
089028,Cherrytree PS,Elementary,Public,489,2017-2018
094757,Cheyne Md S,Elementary,Public,874,2017-2018
901342,Chinguacousy SS,Secondary,Public,1059,2017-2018
080741,Chris Hadfield P.S. (Elem),Elementary,Public,611,2017-2018
107735,Churchill Meadows PS,Elementary,Public,794,2017-2018
267840,Churchville P.S. E S,Elementary,Public,888,2017-2018
059404,Claireville PS,Elementary,Public,707,2017-2018
108626,Clark Boulevard PS,Elementary,Public,592,2017-2018
111228,Clarkson PS,Elementary,Public,115,2017-2018
901660,Clarkson SS,Secondary,Public,786,2017-2018
111872,Clifton PS,Elementary,Public,338,2017-2018
237787,Conestoga PS,Elementary,Public,463,2017-2018
122815,Cooksville Creek PS,Elementary,Public,439,2017-2018
096327,Copeland PS,Elementary,Public,491,2017-2018
123145,Corliss PS,Elementary,Public,240,2017-2018
124869,Corsair PS,Elementary,Public,738,2017-2018
035007,Countryside Village PS (Elem),Elementary,Public,364,2017-2018
127515,Credit Valley PS,Elementary,Public,660,2017-2018
133698,Darcel Avenue Sr PS,Elementary,Public,529,2017-2018
134198,David Leeder Middle S,Elementary,Public,886,2017-2018
909673,David Suzuki SS,Secondary,Public,1621,2017-2018
254568,Derry West Village PS,Elementary,Public,530,2017-2018
140864,Dixie PS,Elementary,Public,313,2017-2018
141070,Dolphin Sr PS,Elementary,Public,576,2017-2018
186040,Dolson PS,Elementary,Public,883,2017-2018
142832,Dorset Drive PS,Elementary,Public,510,2017-2018
603791,Dunrankin Drive PS,Elementary,Public,494,2017-2018
195640,Eagle Plains PS,Elementary,Public,574,2017-2018
158313,Earnscliffe Sr PS,Elementary,Public,762,2017-2018
163449,Eastbourne Drive PS,Elementary,Public,387,2017-2018
165620,Edenbrook Hill PS,Elementary,Public,666,2017-2018
166936,Edenrose PS,Elementary,Public,702,2017-2018
167070,Edenwood Md S,Elementary,Public,489,2017-2018
426375,Eldorado P.S. (Elem),Elementary,Public,941,2017-2018
173479,Ellengale PS,Elementary,Public,322,2017-2018
174920,Ellwood Memorial PS,Elementary,Public,389,2017-2018
276502,Elm Drive (Elem),Elementary,Public,166,2017-2018
202987,Erin Centre Middle S,Elementary,Public,827,2017-2018
185655,Erin Mills Md S,Elementary,Public,437,2017-2018
909092,Erindale SS,Secondary,Public,821,2017-2018
185850,Esker Lake PS,Elementary,Public,328,2017-2018
588552,Fairlawn E PS,Elementary,Public,844,2017-2018
192864,Fairview PS,Elementary,Public,486,2017-2018
192910,Fairwind Sr PS,Elementary,Public,664,2017-2018
193097,Fallingbrook Middle S,Elementary,Public,576,2017-2018
193070,Fallingdale PS,Elementary,Public,220,2017-2018
194093,Fernforest PS,Elementary,Public,831,2017-2018
199125,Fletcher's Creek Sr PS,Elementary,Public,456,2017-2018
910058,Fletcher's Meadow SS,Secondary,Public,1727,2017-2018
199362,Floradale PS,Elementary,Public,699,2017-2018
201073,Folkstone PS,Elementary,Public,378,2017-2018
201316,Forest Avenue PS,Elementary,Public,174,2017-2018
201413,Forest Glen PS,Elementary,Public,511,2017-2018
210455,Garthwood Park PS,Elementary,Public,374,2017-2018
218731,Glendale PS,Elementary,Public,331,2017-2018
913189,Glenforest SS,Secondary,Public,1117,2017-2018
217387,Glenhaven Sr PS,Elementary,Public,478,2017-2018
221538,Goldcrest PS,Elementary,Public,312,2017-2018
913863,Gordon Graydon Memorial SS,Secondary,Public,485,2017-2018
494577,Gordon Graydon Sr PS,Elementary,Public,458,2017-2018
228940,Great Lakes PS,Elementary,Public,838,2017-2018
229199,Green Glade Sr PS,Elementary,Public,316,2017-2018
229377,Greenbriar Sr PS,Elementary,Public,555,2017-2018
230774,Grenoble PS,Elementary,Public,356,2017-2018
243426,Hanover PS,Elementary,Public,292,2017-2018
253464,Harold F Loughin PS,Elementary,Public,315,2017-2018
943916,Harold M. Brathwaite SS,Secondary,Public,1407,2017-2018
250716,Hawthorn PS,Elementary,Public,220,2017-2018
236845,Hazel McCallion Sr PS,Elementary,Public,814,2017-2018
916269,Heart Lake SS,Secondary,Public,1178,2017-2018
252530,Helen Wilson PS,Elementary,Public,247,2017-2018
253448,Herb Campbell PS,Elementary,Public,798,2017-2018
118827,Hewson E PS,Elementary,Public,649,2017-2018
254550,Hickory Wood PS,Elementary,Public,516,2017-2018
258121,Hillcrest PS,Elementary,Public,353,2017-2018
258148,Hilldale PS,Elementary,Public,238,2017-2018
259322,Hillside Public School PS,Elementary,Public,603,2017-2018
263508,Homelands Sr PS,Elementary,Public,504,2017-2018
263397,Homestead PS,Elementary,Public,820,2017-2018
917559,Humberview SS,Secondary,Public,1241,2017-2018
273260,Huntington Ridge PS,Elementary,Public,499,2017-2018
274763,Huttonville PS,Elementary,Public,202,2017-2018
595134,Ingleborough (Elem),Elementary,Public,796,2017-2018
005797,James Bolton PS,Elementary,Public,487,2017-2018
587234,James Grieve PS,Elementary,Public,693,2017-2018
309432,James Potter PS,Elementary,Public,593,2017-2018
185731,Janet I. McDougald PS,Elementary,Public,469,2017-2018
935244,Jean Augustine SS,Secondary,Public,527,2017-2018
282375,Jefferson PS,Elementary,Public,300,2017-2018
918830,John Fraser SS,Secondary,Public,1569,2017-2018
930679,Judith Nyman SS,Secondary,Public,548,2017-2018
289582,Kenollie PS,Elementary,Public,213,2017-2018
291986,Kindree PS,Elementary,Public,463,2017-2018
297682,Kingswood Drive PS,Elementary,Public,654,2017-2018
307548,Lancaster PS,Elementary,Public,377,2017-2018
308455,Larkspur PS,Elementary,Public,952,2017-2018
311960,Levi Creek PS,Elementary,Public,548,2017-2018
952885,Lincoln M. Alexander SS,Secondary,Public,914,2017-2018
314579,Lisgar Middle S,Elementary,Public,684,2017-2018
499344,Lorenville P.S. (Elem),Elementary,Public,818,2017-2018
321958,Lorne Park PS,Elementary,Public,233,2017-2018
924008,Lorne Park SS,Secondary,Public,966,2017-2018
065223,Lougheed Middle S,Elementary,Public,770,2017-2018
904203,Louise Arbour SS,Secondary,Public,1382,2017-2018
328324,Macville PS,Elementary,Public,350,2017-2018
328448,Madoc Drive PS,Elementary,Public,264,2017-2018
336467,Maple Wood PS,Elementary,Public,126,2017-2018
345610,Marvin Heights PS,Elementary,Public,414,2017-2018
329215,Massey Street PS,Elementary,Public,301,2017-2018
925349,Mayfield SS,Secondary,Public,1866,2017-2018
350192,McBride Avenue PS,Elementary,Public,409,2017-2018
444522,McClure PS (Elem),Elementary,Public,733,2017-2018
329690,McCrimmon Md S,Elementary,Public,840,2017-2018
351857,McHugh PS,Elementary,Public,219,2017-2018
605063,McKinnon PS,Elementary,Public,661,2017-2018
925551,Meadowvale SS,Secondary,Public,1095,2017-2018
356921,Meadowvale Village PS,Elementary,Public,497,2017-2018
364150,Middlebury PS,Elementary,Public,493,2017-2018
365246,Miller's Grove S,Elementary,Public,227,2017-2018
366412,Mineola PS,Elementary,Public,396,2017-2018
925535,Mississauga SS,Secondary,Public,1312,2017-2018
372480,Morning Star Md S,Elementary,Public,603,2017-2018
332933,Morton Way PS,Elementary,Public,547,2017-2018
419607,Mount Pleasant Village PS,Elementary,Public,394,2017-2018
164342,Mount Royal PS,Elementary,Public,957,2017-2018
372978,Mountain Ash (Elem),Elementary,Public,555,2017-2018
380164,Munden Park PS,Elementary,Public,374,2017-2018
382647,Nahani Way PS,Elementary,Public,468,2017-2018
212749,Nelson Mandela P.S. (Elem),Elementary,Public,737,2017-2018
930660,North Park SS,Secondary,Public,1296,2017-2018
411655,Northwood PS,Elementary,Public,585,2017-2018
414395,Oakridge PS,Elementary,Public,112,2017-2018
612932,Oscar Peterson PS,Elementary,Public,874,2017-2018
427667,Osprey Woods PS,Elementary,Public,513,2017-2018
429465,Owenwood PS,Elementary,Public,107,2017-2018
431966,Palgrave PS,Elementary,Public,425,2017-2018
905838,Parkholme S,Secondary,Public,198,2017-2018
436097,Parkway PS,Elementary,Public,434,2017-2018
506508,Peel Alternative - North Elementary,Elementary,Public,10,2017-2018
506613,Peel Alternative - South Elementary,Elementary,Public,10,2017-2018
918210,Peel Alternative North,Secondary,Public,36,2017-2018
943381,Peel Alternative North ISR,Secondary,Public,462,2017-2018
918202,Peel Alternative South,Secondary,Public,39,2017-2018
958431,Peel Alternative South ISR,Secondary,Public,336,2017-2018
449075,Plowman's Park PS,Elementary,Public,273,2017-2018
449032,Plum Tree Park PS,Elementary,Public,764,2017-2018
935832,Port Credit SS,Secondary,Public,1165,2017-2018
464171,Queen Elizabeth Sr PS,Elementary,Public,341,2017-2018
465232,Queen Street PS,Elementary,Public,496,2017-2018
466778,Queenston Drive PS,Elementary,Public,474,2017-2018
147831,Ray Lawson,Elementary,Public,539,2017-2018
476650,Ray Underhill PS,Elementary,Public,285,2017-2018
239570,Red Willow PS,Elementary,Public,675,2017-2018
938009,Rick Hansen SS,Secondary,Public,1568,2017-2018
484580,Ridgeview PS,Elementary,Public,682,2017-2018
484849,Ridgewood PS,Elementary,Public,775,2017-2018
486400,Riverside PS,Elementary,Public,300,2017-2018
487902,Robert H Lagerquist Sr PS,Elementary,Public,590,2017-2018
487414,Robert J Lee PS,Elementary,Public,757,2017-2018
561022,Roberta Bondar PS,Elementary,Public,721,2017-2018
493318,Ross Drive P.S. (Elem),Elementary,Public,836,2017-2018
330632,Rowntree PS,Elementary,Public,876,2017-2018
494275,Royal Orchard Md S,Elementary,Public,606,2017-2018
494011,Russell D Barber PS,Elementary,Public,662,2017-2018
107280,Ruth Thompson Md S,Elementary,Public,727,2017-2018
939596,Sandalwood Heights SS,Secondary,Public,1181,2017-2018
501506,Sawmill Valley PS,Elementary,Public,426,2017-2018
519588,Settler's Green PS,Elementary,Public,475,2017-2018
156880,Shaw PS,Elementary,Public,660,2017-2018
509019,Shelter Bay PS,Elementary,Public,397,2017-2018
510548,Sheridan Park PS,Elementary,Public,459,2017-2018
519871,Sherwood Mills PS,Elementary,Public,661,2017-2018
514241,Silver Creek PS,Elementary,Public,236,2017-2018
514357,Silverthorn PS,Elementary,Public,306,2017-2018
209969,Sir Isaac Brock P.S. (Elem),Elementary,Public,885,2017-2018
514900,Sir John A. Macdonald Sr PS,Elementary,Public,520,2017-2018
516210,Sir Wilfrid Laurier PS,Elementary,Public,193,2017-2018
373279,Sir William Gage Md S,Elementary,Public,678,2017-2018
516430,Sir Winston Churchill PS,Elementary,Public,368,2017-2018
518042,Somerset Drive PS,Elementary,Public,429,2017-2018
031851,SouthFields Village (Elem),Elementary,Public,948,2017-2018
626274,Springbrook P.S. (Elem),Elementary,Public,759,2017-2018
527971,Springdale PS,Elementary,Public,646,2017-2018
528137,Springfield PS,Elementary,Public,442,2017-2018
024650,Stanley Mills PS,Elementary,Public,496,2017-2018
962646,Stephen Lewis SS,Secondary,Public,1559,2017-2018
945978,Streetsville SS,Secondary,Public,867,2017-2018
536733,Sunny View Md S,Elementary,Public,772,2017-2018
948187,T. L. Kennedy SS,Secondary,Public,786,2017-2018
550620,Tecumseh PS,Elementary,Public,367,2017-2018
551040,Terry Fox PS,Elementary,Public,603,2017-2018
551422,The Valleys Sr PS,Elementary,Public,494,2017-2018
619299,The Woodlands,Elementary,Public,178,2017-2018
954403,The Woodlands SS,Secondary,Public,888,2017-2018
552259,Thomas Street Md S,Elementary,Public,901,2017-2018
552399,Thorn Lodge PS,Elementary,Public,275,2017-2018
168221,Thorndale PS,Elementary,Public,604,2017-2018
552887,Thornwood PS,Elementary,Public,576,2017-2018
557234,Tomken Road Sr PS,Elementary,Public,1054,2017-2018
006005,Tony Pontes (Elem),Elementary,Public,279,2017-2018
561037,Treeline PS,Elementary,Public,668,2017-2018
561045,Trelawny PS,Elementary,Public,329,2017-2018
918440,Turner Fenton SS,Secondary,Public,1633,2017-2018
578835,Vista Heights PS,Elementary,Public,788,2017-2018
107284,Walnut Grove P.S. (Elem),Elementary,Public,1027,2017-2018
951404,West Credit SS,Secondary,Public,437,2017-2018
598720,Westacres PS,Elementary,Public,287,2017-2018
600091,Westervelts Corners PS,Elementary,Public,358,2017-2018
229647,Whaley's Corners PS,Elementary,Public,185,2017-2018
604780,Whitehorn PS,Elementary,Public,720,2017-2018
605093,Whiteoaks PS,Elementary,Public,570,2017-2018
505790,William G. Davis Sr PS,Elementary,Public,539,2017-2018
614238,Williams Parkway Sr PS,Elementary,Public,716,2017-2018
618063,Willow Way PS,Elementary,Public,286,2017-2018
619981,Worthington PS,Elementary,Public,782,2017-2018
439738,Burkevale Protestant Sep S,Elementary,Public,290,2017-2018
706299,Good Shepherd C Elem S,Elementary,Public,513,2017-2018
704261,Holy Cross Catholic SS,Secondary,Public,658,2017-2018
737970,Holy Family C Elem S,Elementary,Public,660,2017-2018
720240,Holy Trinity Catholic SS,Secondary,Public,700,2017-2018
721344,Immaculate Conception C Elem S,Elementary,Public,252,2017-2018
731358,Monsignor Leo Cleary C Elem S,Elementary,Public,177,2017-2018
730688,Monsignor O'Donoghue C Elem S,Elementary,Public,489,2017-2018
832146,Notre Dame C Elem S,Elementary,Public,277,2017-2018
767751,St. Alphonsus C Elem S,Elementary,Public,218,2017-2018
771783,St. Anne C Elem S,Elementary,Public,588,2017-2018
774383,St. Anthony C Elem S,Elementary,Public,384,2017-2018
781304,St. Catherine C Elem S,Elementary,Public,752,2017-2018
786667,St. Dominic C Elem S,Elementary,Public,376,2017-2018
788147,St. Elizabeth C Elem S,Elementary,Public,564,2017-2018
850977,St. Francis of Assisi C Elem S,Elementary,Public,515,2017-2018
804932,St. John C Elem S,Elementary,Public,280,2017-2018
751383,St. John Paul II C Elem S,Elementary,Public,198,2017-2018
704318,St. Joseph C Elem S,Elementary,Public,235,2017-2018
741620,St. Joseph C Elem S,Elementary,Public,191,2017-2018
809535,St. Joseph C Elem S,Elementary,Public,487,2017-2018
705870,St. Luke C Elem S,Elementary,Public,187,2017-2018
706000,St. Martin C Elem S,Elementary,Public,352,2017-2018
825654,St. Mary C Elem S,Elementary,Public,278,2017-2018
828858,St. Mary C Elem S,Elementary,Public,281,2017-2018
830020,St. Mary C Elem S,Elementary,Public,99,2017-2018
830410,St. Mary Catholic SS,Secondary,Public,894,2017-2018
829242,St. Michael C Elem S,Elementary,Public,170,2017-2018
733253,St. Mother Teresa C Elem S,Elementary,Public,419,2017-2018
840165,St. Patrick C Elem S,Elementary,Public,253,2017-2018
841498,St. Paul C Elem S,Elementary,Public,272,2017-2018
842893,St. Paul C Elem S,Elementary,Public,194,2017-2018
843024,St. Paul C Elem S,Elementary,Public,401,2017-2018
845361,St. Peter Catholic SS,Secondary,Public,1074,2017-2018
851116,St. Stephen Catholic SS,Secondary,Public,1078,2017-2018
851477,St. Teresa C Elem S,Elementary,Public,296,2017-2018
855006,St. Thomas Aquinas Catholic SS,Secondary,Public,302,2017-2018
185930,A B Ellis PS,Elementary,Public,280,2017-2018
002283,Adamsdale PS,Elementary,Public,161,2017-2018
911609,Adult Day School,Secondary,Public,51,2017-2018
009563,Alexander PS,Elementary,Public,297,2017-2018
011550,Algonquin Road PS,Elementary,Public,306,2017-2018
011525,Alternative Program E S,Elementary,Public,5,2017-2018
026590,Assiginack PS,Elementary,Public,123,2017-2018
941542,Barrydowne College Senior,Secondary,Public,210,2017-2018
073393,C R Judd PS,Elementary,Public,155,2017-2018
084310,Carl A Nesbitt PS,Elementary,Public,221,2017-2018
085618,Central Manitoulin PS,Elementary,Public,190,2017-2018
101478,Charles C McLean PS,Elementary,Public,149,2017-2018
105635,Chelmsford PS,Elementary,Public,249,2017-2018
901121,Chelmsford Valley District Comp S,Secondary,Public,197,2017-2018
105627,Chelmsford Valley District S,Elementary,Public,53,2017-2018
107719,Churchill PS,Elementary,Public,447,2017-2018
494578,Confederation,Elementary,Public,117,2017-2018
895237,Confederation SS,Secondary,Public,462,2017-2018
122920,Copper Cliff PS,Elementary,Public,219,2017-2018
131008,Cyril Varney PS,Elementary,Public,267,2017-2018
004502,Ernie Checkeris PS,Elementary,Public,118,2017-2018
909319,Espanola HS,Secondary,Public,470,2017-2018
672785,Jean Hanson Public School,Elementary,Public,60,2017-2018
308439,Lansdowne PS,Elementary,Public,238,2017-2018
