"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"2162","2018-2019","886335","Ridley College","Elem/Sec",105,90,265,230,370,320,690
"2163","2018-2019","887603","Riverbend Academy","Elementary",15,10,NA,NA,15,10,25
"2164","2018-2019","882110","Riverforest Montessori School","Elementary",20,15,NA,NA,20,15,35
"2165","2018-2019","665725","Riverside Christian Montessori School","Elementary",5,5,NA,NA,NA,NA,10
"2166","2018-2019","880876","Riverside Parochial School","Elementary",20,15,NA,NA,20,15,35
"2167","2018-2019","666726","Riyadh Alsalehin School","Elem/Sec",215,235,50,60,270,295,560
"2168","2018-2019","887153","Robbins Hebrew Academy","Elementary",200,170,NA,NA,200,170,370
"2169","2018-2019","880051","Robert Land Academy","Elem/Sec",25,NA,75,NA,100,NA,100
"2170","2018-2019","887762","Rock Community Christian","Elementary",10,5,NA,NA,10,NA,15
"2171","2018-2019","876771","Rock of Help Christian Academy","Elem/Sec",5,5,5,5,10,NA,20
"2172","2018-2019","885681","Rockway Mennonite Collegiate Inc","Elem/Sec",30,35,110,95,140,130,270
"2173","2018-2019","885879","Rocky Ridge Parochial","Elementary",10,5,NA,NA,10,NA,15
"2174","2018-2019","667188","Ronald McDonald House Charities Toronto","Elementary",5,5,NA,NA,NA,NA,10
"2175","2018-2019","882010","Roots Private School","Elementary",20,15,NA,NA,20,15,35
"2176","2018-2019","668726","Rosedale Academy","Secondary",NA,NA,105,70,105,70,175
"2177","2018-2019","877085","Rosedale Day School, The","Elementary",85,65,NA,NA,85,65,150
"2178","2018-2019","887617","Rosseau Lake College Private School","Elem/Sec",5,5,45,30,NA,NA,85
"2179","2018-2019","880957","Rotherglen School","Elementary",245,225,NA,NA,245,225,470
"2180","2018-2019","884950","Rotherglen School - Oakville Elementary","Elem/Sec",270,265,25,20,295,280,580
"2181","2018-2019","668261","Rouge Valley Education Center","Secondary",NA,NA,80,85,80,85,165
"2182","2018-2019","886530","Rowntree Montessori Schools","Elementary",245,205,NA,NA,245,205,450
"2183","2018-2019","882744","Royal City Baptist Academy","Elem/Sec",5,5,NA,5,NA,NA,15
"2184","2018-2019","887482","Royal Crown Academic School","Secondary",NA,NA,245,130,245,130,375
"2185","2018-2019","880996","Royal Imperial Collegiate of Canada","Secondary",NA,NA,40,15,40,15,55
"2186","2018-2019","885094","Royal Oak Community School","Elementary",20,10,NA,NA,20,10,30
"2187","2018-2019","887005","Royal St George's College","Elem/Sec",175,NA,275,NA,445,NA,450
"2188","2018-2019","669152","RoyalCrest Academy","Elem/Sec",45,50,5,NA,NA,50,100
"2189","2018-2019","665178","Rutherford Private School and Daycare","Elem/Sec",15,10,20,5,40,NA,50
"2190","2018-2019","668952","SIMRA Academy Private School","Secondary",NA,NA,20,10,20,10,30
"2191","2018-2019","664813","SNP STEAM Academy","Secondary",NA,NA,65,30,65,30,95
"2192","2018-2019","887085","Saba's Academy","Elementary",5,5,NA,NA,NA,NA,10
"2193","2018-2019","884856","Safa & Marwa Islamic School","Elementary",100,100,NA,NA,100,100,200
"2194","2018-2019","668541","Safa & Marwa Islamic School","Elem/Sec",15,10,30,30,45,40,85
"2195","2018-2019","663794","Sakatcheway Anishinabe","Elem/Sec",NA,NA,20,25,20,25,45
"2196","2018-2019","878170","Salaheddin Islamic School","Elem/Sec",140,135,40,55,180,190,370
"2197","2018-2019","875392","Salem Valley Parochial School","Elementary",20,5,NA,NA,20,NA,25
"2198","2018-2019","886146","Sandy Lake Christian School","Elem/Sec",5,5,5,NA,NA,NA,15
"2199","2018-2019","886416","Sarnia Christian School","Elementary",70,75,NA,NA,70,75,145
"2200","2018-2019","666269","Sarnia Islamic Academy","Elementary",5,10,NA,NA,NA,10,15
"2201","2018-2019","665134","Sathya Sai School of Toronto-Canada","Elementary",110,120,NA,NA,110,120,230
"2202","2018-2019","882644","Saugeen Pines Parochial School","Elementary",15,10,NA,NA,15,10,25
"2203","2018-2019","884138","Saugeen Riverside Parochial School","Elementary",10,10,NA,NA,10,10,20
