"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"3462","2019-2020","885879","Rocky Ridge Parochial","Elementary",10,5,NA,NA,10,NA,15
"3463","2019-2020","667188","Ronald McDonald House Charities Toronto","Elementary",5,5,NA,NA,NA,NA,10
"3464","2019-2020","882010","Roots Private School","Elementary",25,20,NA,NA,25,20,45
"3465","2019-2020","668726","Rosedale Academy","Secondary",NA,NA,215,160,215,160,375
"3466","2019-2020","877085","Rosedale Day School, The","Elementary",100,80,NA,NA,100,80,180
"3467","2019-2020","887617","Rosseau Lake College Private School","Elem/Sec",15,5,55,35,65,NA,110
"3468","2019-2020","880957","Rotherglen School","Elementary",260,245,NA,NA,260,245,505
"3469","2019-2020","884950","Rotherglen School - Oakville Elementary","Elem/Sec",270,275,15,15,285,290,575
"3470","2019-2020","668261","Rouge Valley Education Center","Secondary",NA,NA,85,70,85,70,155
"3471","2019-2020","886530","Rowntree Montessori Schools","Elementary",220,215,NA,NA,220,215,435
"3472","2019-2020","882744","Royal City Baptist Academy","Elem/Sec",5,5,5,NA,NA,NA,15
"3473","2019-2020","887482","Royal Crown Academic School","Secondary",NA,NA,260,155,260,155,415
"3474","2019-2020","880996","Royal Imperial Collegiate of Canada","Secondary",NA,NA,30,5,30,NA,35
"3475","2019-2020","885094","Royal Oak Community School","Elementary",15,10,NA,NA,15,10,25
"3476","2019-2020","887005","Royal St George's College","Elem/Sec",175,NA,275,NA,445,NA,450
"3477","2019-2020","668952","SIMRA Academy Private School","Secondary",NA,NA,30,15,30,15,45
"3478","2019-2020","664813","SNP STEAM Academy","Secondary",NA,NA,70,40,70,40,110
"3479","2019-2020","887085","Saba's Academy","Elementary",5,5,NA,NA,NA,NA,10
"3480","2019-2020","884856","Safa & Marwa Islamic School","Elementary",90,80,NA,NA,90,80,170
"3481","2019-2020","668541","Safa & Marwa Islamic School","Elem/Sec",15,20,35,30,50,50,100
"3482","2019-2020","663794","Sakatcheway Anishinabe","Elem/Sec",NA,NA,15,25,15,25,40
"3483","2019-2020","878170","Salaheddin Islamic School","Elem/Sec",120,140,40,45,160,185,345
"3484","2019-2020","875392","Salem Valley Parochial School","Elementary",20,10,NA,NA,20,10,30
"3485","2019-2020","886146","Sandy Lake Christian School","Elem/Sec",10,5,NA,5,10,NA,20
"3486","2019-2020","886416","Sarnia Christian School","Elementary",70,80,NA,NA,70,80,150
"3487","2019-2020","666269","Sarnia Islamic Academy","Elementary",5,5,NA,NA,NA,NA,10
"3488","2019-2020","665134","Sathya Sai School, Toronto, Canada","Elementary",110,110,NA,NA,110,110,220
"3489","2019-2020","882644","Saugeen Pines Parochial School","Elementary",15,10,NA,NA,15,10,25
"3490","2019-2020","884138","Saugeen Riverside Parochial School","Elementary",10,10,NA,NA,10,10,20
"3491","2019-2020","882216","Scholars' Hall Private School","Elem/Sec",55,40,35,20,90,60,150
"3492","2019-2020","889954","Scriven Christian Academy","Elementary",5,5,NA,NA,NA,NA,10
"3493","2019-2020","668400","Seerah Mission School","Elementary",15,10,NA,NA,15,10,25
"3494","2019-2020","877328","Seneca Hill Private School","Elem/Sec",50,45,NA,NA,50,45,95
"3495","2019-2020","663743","Seven Generations Secondary School","Secondary",NA,NA,55,85,55,85,140
"3496","2019-2020","880718","Sevenoaks Academy","Elementary",35,20,NA,NA,35,20,55
"3497","2019-2020","884686","Seventh Fire Secondary School","Secondary",NA,NA,20,15,20,15,35
"3498","2019-2020","665708","Sharp Eagles","Secondary",NA,NA,10,5,10,NA,15
"3499","2019-2020","668566","Sharp Minds Academy","Secondary",NA,NA,5,5,NA,NA,10
"3500","2019-2020","666978","Sharpminds Tutoring Inc.","Secondary",NA,NA,55,35,55,35,90
"3501","2019-2020","886218","Shekinah Christian School","Elem/Sec",5,20,5,5,10,NA,35
"3502","2019-2020","875643","Sherwood Heights School","Elem/Sec",150,140,25,20,175,165,335
"3503","2019-2020","668543","Sherwood Heights School - Mississauga","Elem/Sec",125,115,5,5,NA,NA,250
"3504","2019-2020","877190","Shiloh Christian Institute","Elem/Sec",20,5,5,5,NA,NA,35
"3505","2019-2020","882005","Shiloh Christian School","Elem/Sec",20,5,5,5,NA,NA,35
"3506","2019-2020","666674","Shiridi Sai School of Canada","Elementary",20,15,NA,NA,20,15,35
"3507","2019-2020","665643","Shmuel Zahavy Cheder Chabad School","Elementary",265,NA,NA,NA,265,NA,265
"3508","2019-2020","880159","Shoore Academics","Elem/Sec",NA,NA,25,5,25,NA,30
"3509","2019-2020","885639","Sid Academy","Secondary",NA,NA,5,5,NA,NA,10
"3510","2019-2020","883145","Sidney Ledson Institute - North York","Elem/Sec",20,30,NA,NA,20,30,50
"3511","2019-2020","889237","Signet Christian Private School","Elem/Sec",10,15,5,5,NA,NA,35
"3512","2019-2020","876780","Silver Lake Parochial School","Elementary",15,5,NA,NA,15,NA,20
"3513","2019-2020","663786","Simon Jacob Memorial Education Centre","Elem/Sec",NA,NA,20,20,20,20,40
"3514","2019-2020","665184","Sir Frederick Banting International Scho","Elem/Sec",70,30,35,20,105,50,155
"3515","2019-2020","887773","Smithside Parochial School","Elementary",15,15,NA,NA,15,15,30
"3516","2019-2020","881066","Smithville District Christian High Schoo","Secondary",NA,NA,140,120,140,120,260
"3517","2019-2020","669969","Socrates","Secondary",NA,NA,30,30,30,30,60
"3518","2019-2020","889300","Somerset Academy","Elementary",75,50,NA,NA,75,50,125
"3519","2019-2020","888588","Songbirds Montessori School","Elementary",5,5,NA,NA,NA,NA,10
"3520","2019-2020","888702","Sonrise Christian Academy","Elementary",20,35,NA,NA,20,35,55
"3521","2019-2020","669986","Sophio","Secondary",NA,NA,5,5,NA,NA,10
"3522","2019-2020","883009","South Belmore Parochial School","Elementary",20,20,NA,NA,20,20,40
"3523","2019-2020","882097","South Bend Parochial School","Elementary",15,10,NA,NA,15,10,25
"3524","2019-2020","887781","South Heidelberg Parochial School","Elementary",15,15,NA,NA,15,15,30
"3525","2019-2020","668485","South Point Christian School","Elem/Sec",15,15,10,5,25,NA,45
"3526","2019-2020","665245","South Shore Christian School","Elementary",75,70,NA,NA,75,70,145
"3527","2019-2020","884978","Southern Ontario Collegiate","Secondary",NA,NA,45,35,45,35,80
"3528","2019-2020","884405","Spruce Ridge Parochial School","Elementary",15,20,NA,NA,15,20,35
"3529","2019-2020","878219","Spruce Vale Parochial School","Elementary",15,20,NA,NA,15,20,35
"3530","2019-2020","885649","St Andrew's College","Elem/Sec",180,NA,480,NA,655,NA,660
"3531","2019-2020","887013","St Clement's School","Elem/Sec",NA,220,5,235,NA,455,460
"3532","2019-2020","666564","St George Academy","Secondary",NA,NA,15,5,15,NA,20
"3533","2019-2020","888672","St John's-Kilmarnock School","Elem/Sec",95,115,85,80,180,195,375
"3534","2019-2020","887145","St Michael's College School","Elem/Sec",205,NA,810,NA,1020,NA,1015
"3535","2019-2020","885932","St Mildred's-Lightbourn School","Elem/Sec",NA,360,NA,235,NA,590,595
"3536","2019-2020","888849","St. Clement's Early Learning","Elementary",35,30,NA,NA,35,30,65
"3537","2019-2020","882748","St. Helen's Parochial School","Elementary",20,5,NA,NA,20,NA,25
"3538","2019-2020","883829","St. Jude's Academy","Elem/Sec",195,165,100,50,290,210,510
"3539","2019-2020","667690","St. Jude's School Inc","Elementary",15,5,NA,NA,15,NA,20
"3540","2019-2020","885799","St. Laurent Academy Inc","Elem/Sec",100,85,40,15,140,100,240
"3541","2019-2020","668619","St. Lawrence Academy, The","Elementary",25,25,NA,NA,25,25,50
"3542","2019-2020","665688","St. Mary Secondary School","Elem/Sec",NA,NA,5,15,NA,15,20
"3543","2019-2020","875309","St. Peter's A.C.H.S. College School","Elementary",5,NA,NA,NA,NA,NA,5
"3544","2019-2020","886351","St. Thomas Community Christian School","Elem/Sec",135,135,5,5,NA,NA,280
"3545","2019-2020","878561","St. Thomas of Villanova College School","Elem/Sec",95,85,205,220,295,305,605
"3546","2019-2020","667099","St. Timothy's Classical  Academy","Elementary",35,30,NA,NA,35,30,65
"3547","2019-2020","884819","Stanford Academy","Secondary",NA,NA,20,5,20,NA,25
"3548","2019-2020","668877","Star Academy","Elementary",35,20,NA,NA,35,20,55
"3549","2019-2020","884189","Sterling Hall School, The","Elementary",320,NA,NA,NA,320,NA,320
"3550","2019-2020","669099","Stirling Montessori Academy Inc","Elementary",5,5,NA,NA,NA,NA,10
"3551","2019-2020","883188","Stirton Parochial School","Elementary",20,20,NA,NA,20,20,40
"3552","2019-2020","666142","Stone Haven Parochial School","Elementary",5,5,NA,NA,NA,NA,10
"3553","2019-2020","881554","Stouffville Christian School","Elementary",50,45,NA,NA,50,45,95
"3554","2019-2020","884266","Strata Montessori Adolescent School","Elem/Sec",15,15,5,5,NA,NA,40
"3555","2019-2020","889695","Stratford District Christian School","Elementary",60,60,NA,NA,60,60,120
"3556","2019-2020","889120","Stratford Middle Years School","Elementary",15,20,NA,NA,15,20,35
"3557","2019-2020","886459","Strathroy Community Christian","Elementary",100,90,NA,NA,100,90,190
"3558","2019-2020","878464","Streetsville Academy Elementary School","Elementary",15,5,NA,NA,15,NA,20
"3559","2019-2020","667183","SuOn Academy","Secondary",NA,NA,105,90,105,90,195
"3560","2019-2020","887855","SuOn Academy Queenslea","Secondary",NA,NA,50,35,50,35,85
"3561","2019-2020","883310","Sudbury Christian Academy","Elementary",30,20,NA,NA,30,20,50
"3562","2019-2020","665668","Suffah Academy of Learning","Elementary",30,40,NA,NA,30,40,70
"3563","2019-2020","667840","Summit College - Brantford","Elem/Sec",NA,NA,5,5,NA,NA,10
"3564","2019-2020","669746","Summit College - Cambridge","Elem/Sec",5,NA,5,5,NA,NA,15
"3565","2019-2020","889704","Summit College - Guelph","Elem/Sec",5,NA,5,5,NA,NA,15
"3566","2019-2020","668482","Summit College - Hamilton","Elem/Sec",5,NA,5,5,NA,NA,15
"3567","2019-2020","669487","Summit College - Kitchener","Elem/Sec",5,NA,5,5,NA,NA,15
"3568","2019-2020","668873","Summit College - St. Catharines","Elem/Sec",5,5,5,5,NA,NA,20
"3569","2019-2020","665192","Summit Micro School","Elementary",15,5,NA,NA,15,NA,20
"3570","2019-2020","885658","Sunny Summit","Elementary",5,5,NA,NA,NA,NA,10
"3571","2019-2020","888150","Sunnybrook","Elementary",70,60,NA,NA,70,60,130
"3572","2019-2020","668381","Sunnybrook Secondary School","Secondary",NA,NA,5,5,NA,NA,10
"3573","2019-2020","667501","Sunrise Montessori School","Elementary",85,90,NA,NA,85,90,175
"3574","2019-2020","884369","Sunshine Montessori School","Elementary",105,80,NA,NA,105,80,185
"3575","2019-2020","879045","Sunway College (Cdn Pgm)","Secondary",NA,NA,560,515,560,515,1075
"3576","2019-2020","881864","T.E.A.M. School","Elem/Sec",110,60,20,5,125,NA,195
"3577","2019-2020","878510","TAIE International Institute","Secondary",NA,NA,180,145,180,145,325
"3578","2019-2020","876313","TFS","Secondary",NA,NA,50,10,50,10,60
"3579","2019-2020","881756","THINNOX School","Secondary",NA,NA,15,5,15,NA,20
"3580","2019-2020","665064","TMS School - Bayview","Elementary",205,230,NA,NA,205,230,435
"3581","2019-2020","885797","TMS School - Elgin Mills","Elem/Sec",45,40,70,80,120,120,235
"3582","2019-2020","882025","Taddle Creek Montessori School","Elementary",45,45,NA,NA,45,45,90
"3583","2019-2020","885040","Talenta Academy","Secondary",NA,NA,80,60,80,60,140
"3584","2019-2020","884081","Tall Pines School","Elementary",165,140,NA,NA,165,140,305
"3585","2019-2020","666855","Tamarack West Outdoor School","Elementary",20,10,NA,NA,20,10,30
"3586","2019-2020","887170","TanenbaumCHAT Wallenberg Campus","Secondary",NA,NA,515,500,515,500,1015
"3587","2019-2020","666351","Tapply Binet College","Secondary",NA,NA,5,NA,NA,NA,5
"3588","2019-2020","668379","Tarbiyah Elementary School","Elementary",80,105,NA,NA,80,105,185
"3589","2019-2020","669947","Tarbiyah Learning","Elementary",55,65,NA,NA,55,65,120
"3590","2019-2020","877743","Tawingo College","Elementary",30,15,NA,NA,30,15,45
"3591","2019-2020","669852","Tayba Islamic Academy","Elementary",5,5,NA,NA,NA,NA,10
"3592","2019-2020","666688","Thaler's Amish Parochial School","Elementary",15,15,NA,NA,15,15,30
"3593","2019-2020","669489","The Ambassadors of God Academy","Elementary",5,5,NA,NA,NA,NA,10
"3594","2019-2020","667064","The Boundless School","Secondary",NA,NA,15,5,15,NA,20
"3595","2019-2020","668055","The Clover School","Elementary",45,40,NA,NA,45,40,85
"3596","2019-2020","885584","The Country Day School","Elem/Sec",225,225,125,170,355,395,745
"3597","2019-2020","888750","The Educators Academy","Secondary",NA,NA,25,20,25,20,45
"3598","2019-2020","886025","The Element","Elem/Sec",20,10,15,15,35,25,60
"3599","2019-2020","883442","The Erindale Academy","Secondary",NA,NA,35,35,35,35,70
"3600","2019-2020","667258","The Laurel School","Elementary",5,5,NA,NA,NA,NA,10
"3601","2019-2020","882978","The London School","Secondary",NA,NA,15,10,15,10,25
"3602","2019-2020","665806","The Maples Independent Country","Elementary",30,35,NA,NA,30,35,65
"3603","2019-2020","885922","The Nature School","Elementary",5,5,NA,NA,NA,NA,10
"3604","2019-2020","669642","The Orchard Montessori School Ltd. (Elem","Elementary",15,10,NA,NA,15,10,25
"3605","2019-2020","665096","The Oxford School","Elementary",45,35,NA,NA,45,35,80
"3606","2019-2020","889391","The Study","Elementary",50,10,NA,NA,50,10,60
"3607","2019-2020","665121","The Study Academy","Secondary",NA,NA,40,10,40,10,50
"3608","2019-2020","881961","The Toronto French School - Mississauga","Elementary",105,100,NA,NA,105,100,205
"3609","2019-2020","884326","The York School","Elementary",140,125,NA,NA,140,125,265
"3610","2019-2020","883709","The Yorkville School","Secondary",NA,NA,15,5,15,NA,20
"3611","2019-2020","663530","Thomas Fiddler Memorial Private High Sch","Secondary",NA,NA,55,40,55,40,95
"3612","2019-2020","668569","Three Bridges Old Colony Christian Schoo","Elementary",40,35,NA,NA,40,35,75
"3613","2019-2020","877395","Three Fishes Christian Elementary School","Elementary",20,20,NA,NA,20,20,40
"3614","2019-2020","886203","Thunder Bay Christian School","Elem/Sec",65,45,5,5,NA,NA,120
"3615","2019-2020","666181","Tiferes Bais Yaakov High School","Secondary",NA,NA,NA,100,NA,100,100
"3616","2019-2020","665607","Tillsonburg Christian School","Elementary",60,60,NA,NA,60,60,120
"3617","2019-2020","886068","Timothy Canadian Reformed School","Elementary",140,145,NA,NA,140,145,285
"3618","2019-2020","885096","Timothy Christian School","Elementary",115,130,NA,NA,115,130,245
"3619","2019-2020","889458","Timothy Christian School","Elementary",50,55,NA,NA,50,55,105
"3620","2019-2020","886831","Timothy Christian School","Elementary",85,70,NA,NA,85,70,155
"3621","2019-2020","885770","Timothy Christian School","Elementary",35,40,NA,NA,35,40,75
"3622","2019-2020","888492","Tiny Forest Academy","Elementary",20,20,NA,NA,20,20,40
"3623","2019-2020","882853","Todd Parochial","Elementary",15,10,NA,NA,15,10,25
"3624","2019-2020","882432","Tollgate Parochial","Elementary",20,15,NA,NA,20,15,35
"3625","2019-2020","878065","Torah Academy of Ottawa Elementary Schoo","Elementary",50,50,NA,NA,50,50,100
"3626","2019-2020","668220","Torah High","Secondary",NA,NA,30,25,30,25,55
"3627","2019-2020","883462","Torah High - Maple","Secondary",NA,NA,15,10,15,10,25
"3628","2019-2020","886634","Torah High - Thornhill","Secondary",NA,NA,75,65,75,65,140
"3629","2019-2020","667402","Torah High - Toronto","Secondary",NA,NA,20,30,20,30,50
"3630","2019-2020","883058","Torah High Ottawa","Secondary",NA,NA,20,20,20,20,40
"3631","2019-2020","889162","Toronto Academy Plus","Secondary",NA,NA,5,15,NA,15,20
"3632","2019-2020","668674","Toronto Berkshire Academy","Secondary",NA,NA,50,15,50,15,65
"3633","2019-2020","885489","Toronto Central Academy","Secondary",NA,NA,85,55,85,55,140
"3634","2019-2020","877140","Toronto Cheder, The","Elementary",355,NA,NA,NA,355,NA,355
"3635","2019-2020","886777","Toronto District Christian High School","Secondary",NA,NA,225,175,225,175,400
"3636","2019-2020","886520","Toronto Eschool","Secondary",NA,NA,50,40,50,40,90
"3637","2019-2020","666718","Toronto French Montessori School","Elementary",20,20,NA,NA,20,20,40
"3638","2019-2020","887072","Toronto French School","Elem/Sec",395,415,200,240,595,655,1250
"3639","2019-2020","877638","Toronto Heschel School, The","Elementary",140,180,NA,NA,140,180,320
"3640","2019-2020","883858","Toronto Heuristic International Academy","Secondary",NA,NA,5,5,NA,NA,10
"3641","2019-2020","882401","Toronto High School","Secondary",NA,NA,15,15,15,15,30
"3642","2019-2020","666629","Toronto International Academy","Secondary",NA,NA,30,20,30,20,50
"3643","2019-2020","889220","Toronto International Academy Oakville","Secondary",NA,NA,10,10,10,10,20
"3644","2019-2020","665800","Toronto International College","Secondary",NA,NA,40,15,40,15,55
"3645","2019-2020","669195","Toronto International Collegiate","Secondary",NA,NA,5,5,NA,NA,10
"3646","2019-2020","884767","Toronto Prep School","Elem/Sec",45,30,225,145,270,175,445
"3647","2019-2020","665640","Toronto Scholars' Collegiate","Secondary",NA,NA,25,15,25,15,40
"3648","2019-2020","887790","Toronto Waldorf School","Elem/Sec",110,125,40,45,150,165,320
"3649","2019-2020","665377","Toronto West Academy","Elem/Sec",5,10,NA,5,NA,NA,20
"3650","2019-2020","883875","Town Centre Private School - Pre-School","Elementary",390,360,NA,NA,390,360,750
"3651","2019-2020","666810","Town Centre Private Schools - High Schoo","Secondary",NA,NA,65,35,65,35,100
"3652","2019-2020","886700","Trafalgar Castle School","Elem/Sec",NA,80,NA,165,NA,240,245
"3653","2019-2020","884483","Trail Ridge Montessori School","Elementary",25,30,NA,NA,25,30,55
"3654","2019-2020","665231","Trails Youth Initiatives","Secondary",NA,NA,25,30,25,30,55
"3655","2019-2020","886572","Trenton Christian","Elementary",70,75,NA,NA,70,75,145
"3656","2019-2020","879380","Trillium International School","Secondary",NA,NA,5,5,NA,NA,10
"3657","2019-2020","875511","Trillium School","Elem/Sec",125,100,15,5,140,NA,245
"3658","2019-2020","877549","Trillium Waldorf School","Elementary",85,90,NA,NA,85,90,175
"3659","2019-2020","885240","Trinity Christian School","Elementary",115,115,NA,NA,115,115,230
"3660","2019-2020","886254","Trinity College School","Elem/Sec",55,50,235,225,290,270,565
"3661","2019-2020","665215","Trinity Montessori School","Elementary",30,45,NA,NA,30,45,75
"3662","2019-2020","886194","Triple Hills","Elementary",5,5,NA,NA,NA,NA,10
"3663","2019-2020","884816","True North Academy","Elementary",20,20,NA,NA,20,20,40
"3664","2019-2020","665506","True North Christian Academy","Elementary",5,5,NA,NA,NA,NA,10
"3665","2019-2020","876496","True North Christian Academy","Elem/Sec",5,5,NA,5,NA,10,15
"3666","2019-2020","876305","Turnberry Parochial School","Elementary",5,15,NA,NA,NA,15,20
"3667","2019-2020","668681","Turnbull School","Elementary",230,130,NA,NA,230,130,360
"3668","2019-2020","666482","UMC High School","Secondary",NA,NA,145,150,145,150,295
"3669","2019-2020","888748","UMC High School – Eglinton Campus","Elem/Sec",NA,NA,5,5,NA,NA,10
"3670","2019-2020","882776","UMCA International Academy - North York","Secondary",NA,NA,5,5,NA,NA,10
"3671","2019-2020","668410","UMCA Rich Tree Academy","Elem/Sec",70,60,5,10,NA,75,145
"3672","2019-2020","881623","USCA Academy","Elem/Sec",NA,NA,10,15,10,15,25
"3673","2019-2020","881924","UT Preparatory Academy","Secondary",NA,NA,15,15,15,15,30
"3674","2019-2020","884350","Uchenna Academy","Secondary",NA,NA,5,NA,NA,NA,5
"3675","2019-2020","665614","Um Al-Qura Islamic School","Elementary",60,65,NA,NA,60,65,125
"3676","2019-2020","669116","Ummati Learning Center","Elementary",15,15,NA,NA,15,15,30
"3677","2019-2020","665201","Ummati School","Elementary",35,45,NA,NA,35,45,80
"3678","2019-2020","668892","Unionville Academy","Secondary",NA,NA,5,5,NA,NA,10
"3679","2019-2020","877433","Unionville Montessori School","Elem/Sec",485,510,10,10,495,520,1015
"3680","2019-2020","884124","Unique Chinese School - 1","Elementary",45,35,NA,NA,45,35,80
"3681","2019-2020","665953","Unique Chinese School - 2","Elementary",50,40,NA,NA,50,40,90
"3682","2019-2020","885800","United Mennonite Educational Institute","Secondary",NA,NA,20,30,20,30,50
"3683","2019-2020","667366","Unity Christian High School","Secondary",NA,NA,35,25,35,25,60
"3684","2019-2020","667510","University of Toronto Schools","Elem/Sec",100,100,240,235,340,335,675
"3685","2019-2020","886858","Upper Canada College","Elem/Sec",415,NA,760,NA,1175,NA,1175
"3686","2019-2020","668518","Upper York School","Elem/Sec",5,5,10,10,NA,NA,30
"3687","2019-2020","889474","Upsala Christian School","Elem/Sec",5,5,5,5,NA,NA,20
"3688","2019-2020","885905","Urban International High School - North","Secondary",NA,NA,50,50,50,50,100
"3689","2019-2020","885115","Urban International School","Secondary",NA,NA,135,110,135,110,245
"3690","2019-2020","876453","Uxbridge Montessori School","Elementary",40,35,NA,NA,40,35,75
"3691","2019-2020","669585","Vanguard Berkshire International Academy","Secondary",NA,NA,NA,5,NA,NA,5
"3692","2019-2020","885052","Vanguard High School","Secondary",NA,NA,10,5,10,NA,15
"3693","2019-2020","666098","Vaughan College","Secondary",NA,NA,25,15,25,15,40
"3694","2019-2020","888664","Verideia Classical Christian Academy","Elementary",35,50,NA,NA,35,50,85
"3695","2019-2020","882681","Vert Casa Montessori Academy","Elementary",5,15,NA,NA,NA,15,20
"3696","2019-2020","663263","Vezina","Secondary",NA,NA,75,90,75,90,165
"3697","2019-2020","669153","Victus Academy","Elem/Sec",20,5,30,5,50,NA,60
"3698","2019-2020","669681","Vineridge Academy","Secondary",NA,NA,55,45,55,45,100
"3699","2019-2020","665347","Virgil Old Colony Christian School","Elementary",60,55,NA,NA,60,55,115
"3700","2019-2020","883303","Virtual Elementary School","Elementary",120,150,NA,NA,120,150,270
"3701","2019-2020","665681","Virtual High School","Secondary",NA,NA,2345,2290,2345,2290,4635
"3702","2019-2020","880681","Virtute Innovation and Art Education","Secondary",NA,NA,5,15,NA,15,20
"3703","2019-2020","665142","Voice Integrative Private School","Elementary",45,40,NA,NA,45,40,85
"3704","2019-2020","668665","WE International Academy","Secondary",NA,NA,NA,5,NA,NA,5
"3705","2019-2020","668344","WONDERfield: for Charlotte Mason educati","Elementary",5,5,NA,NA,NA,NA,10
"3706","2019-2020","663727","Wahsa Distance Education Centre","Secondary",NA,NA,330,525,330,525,855
"3707","2019-2020","667399","Walden International School","Elementary",115,75,NA,NA,115,75,190
"3708","2019-2020","884693","Waldorf Academy","Elementary",75,45,NA,NA,75,45,120
"3709","2019-2020","669384","Wales College Secondary School","Secondary",NA,NA,35,20,35,20,55
"3710","2019-2020","881389","Wali ul Asr School","Elem/Sec",75,75,20,35,95,110,205
"3711","2019-2020","665704","Wali ul Asr School -GTA West Campus","Elementary",60,100,NA,NA,60,100,160
"3712","2019-2020","886610","Wallaceburg Christian Private School","Elementary",45,40,NA,NA,45,40,85
"3713","2019-2020","876852","Walsingham Christian School","Elem/Sec",120,95,5,10,NA,105,230
"3714","2019-2020","668370","Waterloo Independent Secondary School","Secondary",NA,NA,15,10,15,10,25
"3715","2019-2020","883796","Webtree Academy","Secondary",NA,NA,25,15,25,15,40
"3716","2019-2020","876976","Wellington Hall Academy","Elementary",20,15,NA,NA,20,15,35
"3717","2019-2020","669203","Wells Academy","Elem/Sec",15,25,5,NA,NA,25,45
"3718","2019-2020","875910","Wesley Christian Academy","Elementary",160,160,NA,NA,160,160,320
"3719","2019-2020","887630","West Amish School","Elementary",10,20,NA,NA,10,20,30
"3720","2019-2020","884981","West Bentinck Amish Parochial School","Elementary",15,5,NA,NA,15,NA,20
"3721","2019-2020","889580","West Hesson Parochial School","Elementary",15,15,NA,NA,15,15,30
"3722","2019-2020","888524","West Montrose Parochial School","Elementary",15,5,NA,NA,15,NA,20
"3723","2019-2020","876194","Westboro Academy","Elementary",75,60,NA,NA,75,60,135
"3724","2019-2020","669988","Westfield English Language School","Secondary",NA,NA,5,5,NA,NA,10
"3725","2019-2020","667931","Westfield Secondary School","Elem/Sec",NA,NA,65,60,65,60,125
"3726","2019-2020","668494","Westminster Classical Christian Academy","Elementary",40,40,NA,NA,40,40,80
"3727","2019-2020","667318","Weston Learning Centre Inc","Secondary",NA,NA,5,5,NA,NA,10
"3728","2019-2020","665427","Westside Montessori School","Elementary",10,10,NA,NA,10,10,20
"3729","2019-2020","883970","Westward International Academy","Secondary",NA,NA,5,5,NA,NA,10
"3730","2019-2020","883824","Wheatley School of Montessori Education","Elem/Sec",90,80,5,5,NA,NA,180
"3731","2019-2020","667764","Whispering Spruce","Elementary",5,5,NA,NA,NA,NA,10
"3732","2019-2020","669262","Whitby Montessori & Elementary School","Elementary",75,50,NA,NA,75,50,125
"3733","2019-2020","876968","White Oaks Montessori School","Elementary",45,40,NA,NA,45,40,85
"3734","2019-2020","878804","Whitechurch Christian Day School","Elementary",5,5,NA,NA,NA,NA,10
"3735","2019-2020","875015","Whitefield Christian Schools","Elem/Sec",95,75,45,35,135,110,250
"3736","2019-2020","663662","Wikwemikong High School","Secondary",NA,NA,40,35,40,35,75
"3737","2019-2020","666300","Wildwood Academy","Elementary",35,15,NA,NA,35,15,50
"3738","2019-2020","665327","Wildwood Parochial School","Elementary",15,15,NA,NA,15,15,30
"3739","2019-2020","889106","William Academy","Elem/Sec",5,5,35,30,NA,NA,75
"3740","2019-2020","668187","William Academy Scarborough","Secondary",NA,NA,40,20,40,20,60
"3741","2019-2020","883539","WillowWood School","Elem/Sec",70,25,75,50,140,75,220
"3742","2019-2020","887307","Willowdale Christian School","Elementary",90,70,NA,NA,90,70,160
"3743","2019-2020","885998","Willowdale High School","Secondary",NA,NA,55,35,55,35,90
"3744","2019-2020","885355","Windsor Adventist Elementary School","Elementary",15,20,NA,NA,15,20,35
"3745","2019-2020","881190","Windsor Islamic High School","Secondary",NA,NA,30,5,30,NA,35
"3746","2019-2020","887420","Winfield Parochial School","Elementary",10,15,NA,NA,10,15,25
"3747","2019-2020","881287","Wingham Baptist Church School","Elem/Sec",5,5,NA,5,NA,NA,15
"3748","2019-2020","887471","Winterbourne Parochial School","Elementary",15,5,NA,NA,15,NA,20
"3749","2019-2020","884327","Wisdom Academy","Secondary",NA,NA,15,5,15,NA,20
"3750","2019-2020","889679","Wishing Well Montessori Schools","Elementary",95,80,NA,NA,95,80,175
"3751","2019-2020","666261","Wiz Kidz Learning Centre Inc.","Secondary",NA,NA,55,65,55,65,120
"3752","2019-2020","668839","Woodbridge Private Learning Centre (Wood","Secondary",NA,NA,5,5,NA,NA,10
"3753","2019-2020","889326","Woodland Christian High School","Secondary",NA,NA,160,185,160,185,345
"3754","2019-2020","882502","Woodland Corners Parochial School","Elementary",15,15,NA,NA,15,15,30
"3755","2019-2020","875627","Woodland Springs Parochial School","Elementary",15,10,NA,NA,15,10,25
"3756","2019-2020","881774","Woodside Melody Parochial","Elementary",15,15,NA,NA,15,15,30
"3757","2019-2020","886173","Woodstock Christian School","Elementary",125,115,NA,NA,125,115,240
"3758","2019-2020","665878","Woodview Learning Centre","Elementary",10,5,NA,NA,10,NA,15
"3759","2019-2020","665040","World Life Education Inc","Secondary",NA,NA,5,NA,NA,NA,5
"3760","2019-2020","665374","WorldStrides","Secondary",NA,NA,5,20,NA,20,25
"3761","2019-2020","665249","Wychwood School","Elementary",5,5,NA,NA,NA,NA,10
"3762","2019-2020","883487","Xyna International High School","Secondary",NA,NA,20,20,20,20,40
"3763","2019-2020","668036","Xyna International School","Secondary",NA,NA,5,5,NA,NA,10
"3764","2019-2020","669074","YIP's Collegiate School","Secondary",NA,NA,5,5,NA,NA,10
